configuration,questionerType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-138.11514399328004
3_1_0.5,explicit,3,1,0.5,-139.8995177600084
3_1_0.1,pragmatic,3,1,0.1,-138.3700251072524
3_1_0.1,explicit,3,1,0.1,-140.30237590193698
3_1_1.5,pragmatic,3,1,1.5,-137.28984630950728
3_1_1.5,explicit,3,1,1.5,-138.5813273397337
3_1_2.0,pragmatic,3,1,2.0,-136.861832865243
3_1_2.0,explicit,3,1,2.0,-137.87756807799684
3_1_2.5,pragmatic,3,1,2.5,-136.4947978572096
3_1_2.5,explicit,3,1,2.5,-137.25099805582246
3_2_0.5,pragmatic,3,2,0.5,-135.799570423491
3_2_0.5,explicit,3,2,0.5,-139.8995177600084
3_2_0.1,pragmatic,3,2,0.1,-135.992021739058
3_2_0.1,explicit,3,2,0.1,-140.30237590193698
3_2_1.5,pragmatic,3,2,1.5,-135.23512266243097
3_2_1.5,explicit,3,2,1.5,-138.5813273397337
3_2_2.0,pragmatic,3,2,2.0,-135.0147238379757
3_2_2.0,explicit,3,2,2.0,-137.87756807799684
3_2_2.5,pragmatic,3,2,2.5,-134.91381674693156
3_2_2.5,explicit,3,2,2.5,-137.25099805582246
3_3_0.5,pragmatic,3,3,0.5,-133.75032030564913
3_3_0.5,explicit,3,3,0.5,-139.8995177600084
3_3_0.1,pragmatic,3,3,0.1,-133.95850344550163
3_3_0.1,explicit,3,3,0.1,-140.30237590193698
3_3_1.5,pragmatic,3,3,1.5,-133.10841948924661
3_3_1.5,explicit,3,3,1.5,-138.5813273397337
3_3_2.0,pragmatic,3,3,2.0,-132.84675418499637
3_3_2.0,explicit,3,3,2.0,-137.87756807799684
3_3_2.5,pragmatic,3,3,2.5,-132.75194583963656
3_3_2.5,explicit,3,3,2.5,-137.25099805582246
3_4_0.5,pragmatic,3,4,0.5,-132.42460050814327
3_4_0.5,explicit,3,4,0.5,-139.8995177600084
3_4_0.1,pragmatic,3,4,0.1,-132.65528925026967
3_4_0.1,explicit,3,4,0.1,-140.30237590193698
3_4_1.5,pragmatic,3,4,1.5,-131.62974343843166
3_4_1.5,explicit,3,4,1.5,-138.5813273397337
3_4_2.0,pragmatic,3,4,2.0,-131.2052575437052
3_4_2.0,explicit,3,4,2.0,-137.87756807799684
3_4_2.5,pragmatic,3,4,2.5,-130.8914617479455
3_4_2.5,explicit,3,4,2.5,-137.25099805582246
3_5_0.5,pragmatic,3,5,0.5,-131.73083656656237
3_5_0.5,explicit,3,5,0.5,-139.8995177600084
3_5_0.1,pragmatic,3,5,0.1,-131.96200253597743
3_5_0.1,explicit,3,5,0.1,-140.30237590193698
3_5_1.5,pragmatic,3,5,1.5,-130.87824752848033
3_5_1.5,explicit,3,5,1.5,-138.5813273397337
3_5_2.0,pragmatic,3,5,2.0,-130.34587602669757
3_5_2.0,explicit,3,5,2.0,-137.87756807799684
3_5_2.5,pragmatic,3,5,2.5,-129.83066278373062
3_5_2.5,explicit,3,5,2.5,-137.25099805582246
3_6_0.5,pragmatic,3,6,0.5,-131.42265533466775
3_6_0.5,explicit,3,6,0.5,-139.8995177600084
3_6_0.1,pragmatic,3,6,0.1,-131.6380365689565
3_6_0.1,explicit,3,6,0.1,-140.30237590193698
3_6_1.5,pragmatic,3,6,1.5,-130.60602088694336
3_6_1.5,explicit,3,6,1.5,-138.5813273397337
3_6_2.0,pragmatic,3,6,2.0,-130.05495830092607
3_6_2.0,explicit,3,6,2.0,-137.87756807799684
3_6_2.5,pragmatic,3,6,2.5,-129.45064785188939
3_6_2.5,explicit,3,6,2.5,-137.25099805582246
3_7_0.5,pragmatic,3,7,0.5,-131.30869264517386
3_7_0.5,explicit,3,7,0.5,-139.8995177600084
3_7_0.1,pragmatic,3,7,0.1,-131.503018739004
3_7_0.1,explicit,3,7,0.1,-140.30237590193698
3_7_1.5,pragmatic,3,7,1.5,-130.574932586808
3_7_1.5,explicit,3,7,1.5,-138.5813273397337
3_7_2.0,pragmatic,3,7,2.0,-130.06583220069209
3_7_2.0,explicit,3,7,2.0,-137.87756807799684
3_7_2.5,pragmatic,3,7,2.5,-129.46917676466552
3_7_2.5,explicit,3,7,2.5,-137.25099805582246
4_1_0.5,pragmatic,4,1,0.5,-126.70842067357465
4_1_0.5,explicit,4,1,0.5,-129.95212443810726
4_1_0.1,pragmatic,4,1,0.1,-126.89289391223228
4_1_0.1,explicit,4,1,0.1,-130.36071709797403
4_1_1.5,pragmatic,4,1,1.5,-126.1860504517112
4_1_1.5,explicit,4,1,1.5,-128.63718502372487
4_1_2.0,pragmatic,4,1,2.0,-125.97610259110824
4_1_2.0,explicit,4,1,2.0,-127.94929591489883
4_1_2.5,pragmatic,4,1,2.5,-125.84576610378211
4_1_2.5,explicit,4,1,2.5,-127.345334477754
4_2_0.5,pragmatic,4,2,0.5,-122.7508448864868
4_2_0.5,explicit,4,2,0.5,-129.95212443810726
4_2_0.1,pragmatic,4,2,0.1,-122.86763970867354
4_2_0.1,explicit,4,2,0.1,-130.36071709797403
4_2_1.5,pragmatic,4,2,1.5,-122.55855248835744
4_2_1.5,explicit,4,2,1.5,-128.63718502372487
4_2_2.0,pragmatic,4,2,2.0,-122.65511734772537
4_2_2.0,explicit,4,2,2.0,-127.94929591489883
4_2_2.5,pragmatic,4,2,2.5,-122.95321718110888
4_2_2.5,explicit,4,2,2.5,-127.345334477754
4_3_0.5,pragmatic,4,3,0.5,-119.51857657522035
4_3_0.5,explicit,4,3,0.5,-129.95212443810726
4_3_0.1,pragmatic,4,3,0.1,-119.68704205546561
4_3_0.1,explicit,4,3,0.1,-130.36071709797403
4_3_1.5,pragmatic,4,3,1.5,-119.10592691072894
4_3_1.5,explicit,4,3,1.5,-128.63718502372487
4_3_2.0,pragmatic,4,3,2.0,-119.07301510846152
4_3_2.0,explicit,4,3,2.0,-127.94929591489883
4_3_2.5,pragmatic,4,3,2.5,-119.3107265519929
4_3_2.5,explicit,4,3,2.5,-127.345334477754
4_4_0.5,pragmatic,4,4,0.5,-117.57974019391538
4_4_0.5,explicit,4,4,0.5,-129.95212443810726
4_4_0.1,pragmatic,4,4,0.1,-117.79536331480759
4_4_0.1,explicit,4,4,0.1,-130.36071709797403
4_4_1.5,pragmatic,4,4,1.5,-116.89343739369721
4_4_1.5,explicit,4,4,1.5,-128.63718502372487
4_4_2.0,pragmatic,4,4,2.0,-116.58853620038107
4_4_2.0,explicit,4,4,2.0,-127.94929591489883
4_4_2.5,pragmatic,4,4,2.5,-116.45735401998199
4_4_2.5,explicit,4,4,2.5,-127.345334477754
4_5_0.5,pragmatic,4,5,0.5,-116.599472451449
4_5_0.5,explicit,4,5,0.5,-129.95212443810726
4_5_0.1,pragmatic,4,5,0.1,-116.82574303271653
4_5_0.1,explicit,4,5,0.1,-130.36071709797403
4_5_1.5,pragmatic,4,5,1.5,-115.80493845642285
4_5_1.5,explicit,4,5,1.5,-128.63718502372487
4_5_2.0,pragmatic,4,5,2.0,-115.34298903139988
4_5_2.0,explicit,4,5,2.0,-127.94929591489883
4_5_2.5,pragmatic,4,5,2.5,-114.93277003399095
4_5_2.5,explicit,4,5,2.5,-127.345334477754
4_6_0.5,pragmatic,4,6,0.5,-116.13398224632036
4_6_0.5,explicit,4,6,0.5,-129.95212443810726
4_6_0.1,pragmatic,4,6,0.1,-116.3496920742271
4_6_0.1,explicit,4,6,0.1,-130.36071709797403
4_6_1.5,pragmatic,4,6,1.5,-115.35438791838145
4_6_1.5,explicit,4,6,1.5,-128.63718502372487
4_6_2.0,pragmatic,4,6,2.0,-114.85714449060721
4_6_2.0,explicit,4,6,2.0,-127.94929591489883
4_6_2.5,pragmatic,4,6,2.5,-114.33442757942208
4_6_2.5,explicit,4,6,2.5,-127.345334477754
4_7_0.5,pragmatic,4,7,0.5,-115.90239190808569
4_7_0.5,explicit,4,7,0.5,-129.95212443810726
4_7_0.1,pragmatic,4,7,0.1,-116.10151643818122
4_7_0.1,explicit,4,7,0.1,-130.36071709797403
4_7_1.5,pragmatic,4,7,1.5,-115.19102943421228
4_7_1.5,explicit,4,7,1.5,-128.63718502372487
4_7_2.0,pragmatic,4,7,2.0,-114.72712031190963
4_7_2.0,explicit,4,7,2.0,-127.94929591489883
4_7_2.5,pragmatic,4,7,2.5,-114.2030574078172
4_7_2.5,explicit,4,7,2.5,-127.345334477754
5_1_0.5,pragmatic,5,1,0.5,-117.54227496612184
5_1_0.5,explicit,5,1,0.5,-122.15970603735488
5_1_0.1,pragmatic,5,1,0.1,-117.61975448239498
5_1_0.1,explicit,5,1,0.1,-122.5280885206411
5_1_1.5,pragmatic,5,1,1.5,-117.43839472447246
5_1_1.5,explicit,5,1,1.5,-120.99520370575978
5_1_2.0,pragmatic,5,1,2.0,-117.50540212988453
5_1_2.0,explicit,5,1,2.0,-120.3990123106186
5_1_2.5,pragmatic,5,1,2.5,-117.66284939811204
5_1_2.5,explicit,5,1,2.5,-119.88303515521547
5_2_0.5,pragmatic,5,2,0.5,-112.24114791782132
5_2_0.5,explicit,5,2,0.5,-122.15970603735488
5_2_0.1,pragmatic,5,2,0.1,-112.26473773481625
5_2_0.1,explicit,5,2,0.1,-122.5280885206411
5_2_1.5,pragmatic,5,2,1.5,-112.45148019485947
5_2_1.5,explicit,5,2,1.5,-120.99520370575978
5_2_2.0,pragmatic,5,2,2.0,-112.86040992182097
5_2_2.0,explicit,5,2,2.0,-120.3990123106186
5_2_2.5,pragmatic,5,2,2.5,-113.54112117164887
5_2_2.5,explicit,5,2,2.5,-119.88303515521547
5_3_0.5,pragmatic,5,3,0.5,-108.32242913044087
5_3_0.5,explicit,5,3,0.5,-122.15970603735488
5_3_0.1,pragmatic,5,3,0.1,-108.43163094567235
5_3_0.1,explicit,5,3,0.1,-122.5280885206411
5_3_1.5,pragmatic,5,3,1.5,-108.1570717233895
5_3_1.5,explicit,5,3,1.5,-120.99520370575978
5_3_2.0,pragmatic,5,3,2.0,-108.31277354751018
5_3_2.0,explicit,5,3,2.0,-120.3990123106186
5_3_2.5,pragmatic,5,3,2.5,-108.7930972241229
5_3_2.5,explicit,5,3,2.5,-119.88303515521547
5_4_0.5,pragmatic,5,4,0.5,-106.17419250228444
5_4_0.5,explicit,5,4,0.5,-122.15970603735488
5_4_0.1,pragmatic,5,4,0.1,-106.34053480860632
5_4_0.1,explicit,5,4,0.1,-122.5280885206411
5_4_1.5,pragmatic,5,4,1.5,-105.67977601245543
5_4_1.5,explicit,5,4,1.5,-120.99520370575978
5_4_2.0,pragmatic,5,4,2.0,-105.50156554568328
5_4_2.0,explicit,5,4,2.0,-120.3990123106186
5_4_2.5,pragmatic,5,4,2.5,-105.50607904279823
5_4_2.5,explicit,5,4,2.5,-119.88303515521547
5_5_0.5,pragmatic,5,5,0.5,-105.11933620749173
5_5_0.5,explicit,5,5,0.5,-122.15970603735488
5_5_0.1,pragmatic,5,5,0.1,-105.29643518860725
5_5_0.1,explicit,5,5,0.1,-122.5280885206411
5_5_1.5,pragmatic,5,5,1.5,-104.51763437281512
5_5_1.5,explicit,5,5,1.5,-120.99520370575978
5_5_2.0,pragmatic,5,5,2.0,-104.18259988334755
5_5_2.0,explicit,5,5,2.0,-120.3990123106186
5_5_2.5,pragmatic,5,5,2.5,-103.90301950394318
5_5_2.5,explicit,5,5,2.5,-119.88303515521547
5_6_0.5,pragmatic,5,6,0.5,-104.58534438215113
5_6_0.5,explicit,5,6,0.5,-122.15970603735488
5_6_0.1,pragmatic,5,6,0.1,-104.75144019643314
5_6_0.1,explicit,5,6,0.1,-122.5280885206411
5_6_1.5,pragmatic,5,6,1.5,-104.00330295368684
5_6_1.5,explicit,5,6,1.5,-120.99520370575978
5_6_2.0,pragmatic,5,6,2.0,-103.63991258613088
5_6_2.0,explicit,5,6,2.0,-120.3990123106186
5_6_2.5,pragmatic,5,6,2.5,-103.26134222744017
5_6_2.5,explicit,5,6,2.5,-119.88303515521547
5_7_0.5,pragmatic,5,7,0.5,-104.27622010773227
5_7_0.5,explicit,5,7,0.5,-122.15970603735488
5_7_0.1,pragmatic,5,7,0.1,-104.4254419986149
5_7_0.1,explicit,5,7,0.1,-122.5280885206411
5_7_1.5,pragmatic,5,7,1.5,-103.76355401411956
5_7_1.5,explicit,5,7,1.5,-120.99520370575978
5_7_2.0,pragmatic,5,7,2.0,-103.43485965493258
5_7_2.0,explicit,5,7,2.0,-120.3990123106186
5_7_2.5,pragmatic,5,7,2.5,-103.05927369275894
5_7_2.5,explicit,5,7,2.5,-119.88303515521547
6_1_0.5,pragmatic,6,1,0.5,-110.4277806946003
6_1_0.5,explicit,6,1,0.5,-116.18429598621266
6_1_0.1,pragmatic,6,1,0.1,-110.39674254826595
6_1_0.1,explicit,6,1,0.1,-116.49153178535535
6_1_1.5,pragmatic,6,1,1.5,-110.7328781567714
6_1_1.5,explicit,6,1,1.5,-115.22895723057417
6_1_2.0,pragmatic,6,1,2.0,-111.06236949963301
6_1_2.0,explicit,6,1,2.0,-114.74919727326042
6_1_2.5,pragmatic,6,1,2.5,-111.48925776624638
6_1_2.5,explicit,6,1,2.5,-114.33906997904474
6_2_0.5,pragmatic,6,2,0.5,-104.24302450965344
6_2_0.5,explicit,6,2,0.5,-116.18429598621266
6_2_0.1,pragmatic,6,2,0.1,-104.18997199636442
6_2_0.1,explicit,6,2,0.1,-116.49153178535535
6_2_1.5,pragmatic,6,2,1.5,-104.76080157967746
6_2_1.5,explicit,6,2,1.5,-115.22895723057417
6_2_2.0,pragmatic,6,2,2.0,-105.39815239966708
6_2_2.0,explicit,6,2,2.0,-114.74919727326042
6_2_2.5,pragmatic,6,2,2.5,-106.36193539827734
6_2_2.5,explicit,6,2,2.5,-114.33906997904474
6_3_0.5,pragmatic,6,3,0.5,-100.15978290557936
6_3_0.5,explicit,6,3,0.5,-116.18429598621266
6_3_0.1,pragmatic,6,3,0.1,-100.21808905042856
6_3_0.1,explicit,6,3,0.1,-116.49153178535535
6_3_1.5,pragmatic,6,3,1.5,-100.16843070163392
6_3_1.5,explicit,6,3,1.5,-115.22895723057417
6_3_2.0,pragmatic,6,3,2.0,-100.42629098498138
6_3_2.0,explicit,6,3,2.0,-114.74919727326042
6_3_2.5,pragmatic,6,3,2.5,-101.01756209276513
6_3_2.5,explicit,6,3,2.5,-114.33906997904474
6_4_0.5,pragmatic,6,4,0.5,-98.13437304010408
6_4_0.5,explicit,6,4,0.5,-116.18429598621266
6_4_0.1,pragmatic,6,4,0.1,-98.2485691698657
6_4_0.1,explicit,6,4,0.1,-116.49153178535535
6_4_1.5,pragmatic,6,4,1.5,-97.81279744454167
6_4_1.5,explicit,6,4,1.5,-115.22895723057417
6_4_2.0,pragmatic,6,4,2.0,-97.72371237320759
6_4_2.0,explicit,6,4,2.0,-114.74919727326042
6_4_2.5,pragmatic,6,4,2.5,-97.79693274399283
6_4_2.5,explicit,6,4,2.5,-114.33906997904474
6_5_0.5,pragmatic,6,5,0.5,-97.186585293279
6_5_0.5,explicit,6,5,0.5,-116.18429598621266
6_5_0.1,pragmatic,6,5,0.1,-97.30716216169246
6_5_0.1,explicit,6,5,0.1,-116.49153178535535
6_5_1.5,pragmatic,6,5,1.5,-96.77912174925547
