configuration,answererType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-144.398290896713
3_1_0.5,explicit,3,1,0.5,-185.44245460573657
3_1_0.1,pragmatic,3,1,0.1,-141.60111164121903
3_1_0.1,explicit,3,1,0.1,-180.1136103579562
3_1_1.5,pragmatic,3,1,1.5,-162.82562914200633
3_1_1.5,explicit,3,1,1.5,-212.936247237278
3_1_2.0,pragmatic,3,1,2.0,-180.13909380002946
3_1_2.0,explicit,3,1,2.0,-235.68135102475446
3_1_2.5,pragmatic,3,1,2.5,-203.5801451287952
3_1_2.5,explicit,3,1,2.5,-264.3891072534063
3_2_0.5,pragmatic,3,2,0.5,-115.01292426099882
3_2_0.5,explicit,3,2,0.5,-185.44245460573657
3_2_0.1,pragmatic,3,2,0.1,-114.27547902887204
3_2_0.1,explicit,3,2,0.1,-180.1136103579562
3_2_1.5,pragmatic,3,2,1.5,-125.13887799321029
3_2_1.5,explicit,3,2,1.5,-212.936247237278
3_2_2.0,pragmatic,3,2,2.0,-136.62285683621252
3_2_2.0,explicit,3,2,2.0,-235.68135102475446
3_2_2.5,pragmatic,3,2,2.5,-153.61094382949042
3_2_2.5,explicit,3,2,2.5,-264.3891072534063
3_3_0.5,pragmatic,3,3,0.5,-96.20002348346307
3_3_0.5,explicit,3,3,0.5,-185.44245460573657
3_3_0.1,pragmatic,3,3,0.1,-96.87790827453746
3_3_0.1,explicit,3,3,0.1,-180.1136103579562
3_3_1.5,pragmatic,3,3,1.5,-100.11243451701483
3_3_1.5,explicit,3,3,1.5,-212.936247237278
3_3_2.0,pragmatic,3,3,2.0,-106.64393863907179
3_3_2.0,explicit,3,3,2.0,-235.68135102475446
3_3_2.5,pragmatic,3,3,2.5,-117.42804990455645
3_3_2.5,explicit,3,3,2.5,-264.3891072534063
3_4_0.5,pragmatic,3,4,0.5,-85.25232480598982
3_4_0.5,explicit,3,4,0.5,-185.44245460573657
3_4_0.1,pragmatic,3,4,0.1,-86.78918549400782
3_4_0.1,explicit,3,4,0.1,-180.1136103579562
3_4_1.5,pragmatic,3,4,1.5,-85.2245683804267
3_4_1.5,explicit,3,4,1.5,-212.936247237278
3_4_2.0,pragmatic,3,4,2.0,-88.3671255228681
3_4_2.0,explicit,3,4,2.0,-235.68135102475446
3_4_2.5,pragmatic,3,4,2.5,-94.51185450684336
3_4_2.5,explicit,3,4,2.5,-264.3891072534063
3_5_0.5,pragmatic,3,5,0.5,-79.4084420584261
3_5_0.5,explicit,3,5,0.5,-185.44245460573657
3_5_0.1,pragmatic,3,5,0.1,-81.45074219453456
3_5_0.1,explicit,3,5,0.1,-180.1136103579562
3_5_1.5,pragmatic,3,5,1.5,-77.05644617107123
3_5_1.5,explicit,3,5,1.5,-212.936247237278
3_5_2.0,pragmatic,3,5,2.0,-78.15644321016055
3_5_2.0,explicit,3,5,2.0,-235.68135102475446
3_5_2.5,pragmatic,3,5,2.5,-81.3881173877492
3_5_2.5,explicit,3,5,2.5,-264.3891072534063
3_6_0.5,pragmatic,3,6,0.5,-76.7191362195107
3_6_0.5,explicit,3,6,0.5,-185.44245460573657
3_6_0.1,pragmatic,3,6,0.1,-79.07715345831949
3_6_0.1,explicit,3,6,0.1,-180.1136103579562
3_6_1.5,pragmatic,3,6,1.5,-72.95820751223977
3_6_1.5,explicit,3,6,1.5,-212.936247237278
3_6_2.0,pragmatic,3,6,2.0,-72.8507099053895
3_6_2.0,explicit,3,6,2.0,-235.68135102475446
3_6_2.5,pragmatic,3,6,2.5,-74.36536880472542
3_6_2.5,explicit,3,6,2.5,-264.3891072534063
3_7_0.5,pragmatic,3,7,0.5,-76.00375203488045
3_7_0.5,explicit,3,7,0.5,-185.44245460573657
3_7_0.1,pragmatic,3,7,0.1,-78.58266607816654
3_7_0.1,explicit,3,7,0.1,-180.1136103579562
3_7_1.5,pragmatic,3,7,1.5,-71.30201332592077
3_7_1.5,explicit,3,7,1.5,-212.936247237278
3_7_2.0,pragmatic,3,7,2.0,-70.43361365788503
3_7_2.0,explicit,3,7,2.0,-235.68135102475446
3_7_2.5,pragmatic,3,7,2.5,-70.908206131542
3_7_2.5,explicit,3,7,2.5,-264.3891072534063
4_1_0.5,pragmatic,4,1,0.5,-141.1378251318123
4_1_0.5,explicit,4,1,0.5,-185.44245460573657
4_1_0.1,pragmatic,4,1,0.1,-138.3413776743726
4_1_0.1,explicit,4,1,0.1,-180.1136103579562
4_1_1.5,pragmatic,4,1,1.5,-159.55357224603304
4_1_1.5,explicit,4,1,1.5,-212.936247237278
4_1_2.0,pragmatic,4,1,2.0,-176.8534491492471
4_1_2.0,explicit,4,1,2.0,-235.68135102475446
4_1_2.5,pragmatic,4,1,2.5,-200.27656022829163
4_1_2.5,explicit,4,1,2.5,-264.3891072534063
4_2_0.5,pragmatic,4,2,0.5,-109.71264795747564
4_2_0.5,explicit,4,2,0.5,-185.44245460573657
4_2_0.1,pragmatic,4,2,0.1,-109.00451961425198
4_2_0.1,explicit,4,2,0.1,-180.1136103579562
4_2_1.5,pragmatic,4,2,1.5,-119.67687162174998
4_2_1.5,explicit,4,2,1.5,-212.936247237278
4_2_2.0,pragmatic,4,2,2.0,-131.01392812912368
4_2_2.0,explicit,4,2,2.0,-235.68135102475446
4_2_2.5,pragmatic,4,2,2.5,-147.81440052405353
4_2_2.5,explicit,4,2,2.5,-264.3891072534063
4_3_0.5,pragmatic,4,3,0.5,-89.94313197424147
4_3_0.5,explicit,4,3,0.5,-185.44245460573657
4_3_0.1,pragmatic,4,3,0.1,-90.64727335990374
4_3_0.1,explicit,4,3,0.1,-180.1136103579562
4_3_1.5,pragmatic,4,3,1.5,-93.64486765812978
4_3_1.5,explicit,4,3,1.5,-212.936247237278
4_3_2.0,pragmatic,4,3,2.0,-99.9325483486609
4_3_2.0,explicit,4,3,2.0,-235.68135102475446
4_3_2.5,pragmatic,4,3,2.5,-110.35240904732044
4_3_2.5,explicit,4,3,2.5,-264.3891072534063
4_4_0.5,pragmatic,4,4,0.5,-78.55224531753946
4_4_0.5,explicit,4,4,0.5,-185.44245460573657
4_4_0.1,pragmatic,4,4,0.1,-80.07541342840597
4_4_0.1,explicit,4,4,0.1,-180.1136103579562
4_4_1.5,pragmatic,4,4,1.5,-78.43941690449905
4_4_1.5,explicit,4,4,1.5,-212.936247237278
4_4_2.0,pragmatic,4,4,2.0,-81.3852371582467
4_4_2.0,explicit,4,4,2.0,-235.68135102475446
4_4_2.5,pragmatic,4,4,2.5,-87.1605333127014
4_4_2.5,explicit,4,4,2.5,-264.3891072534063
4_5_0.5,pragmatic,4,5,0.5,-72.30776532870179
4_5_0.5,explicit,4,5,0.5,-185.44245460573657
4_5_0.1,pragmatic,4,5,0.1,-74.28526879137422
4_5_0.1,explicit,4,5,0.1,-180.1136103579562
4_5_1.5,pragmatic,4,5,1.5,-70.0720402519798
4_5_1.5,explicit,4,5,1.5,-212.936247237278
4_5_2.0,pragmatic,4,5,2.0,-71.11229951393769
4_5_2.0,explicit,4,5,2.0,-235.68135102475446
4_5_2.5,pragmatic,4,5,2.5,-74.1176020925731
4_5_2.5,explicit,4,5,2.5,-264.3891072534063
4_6_0.5,pragmatic,4,6,0.5,-69.0587466893498
4_6_0.5,explicit,4,6,0.5,-185.44245460573657
4_6_0.1,pragmatic,4,6,0.1,-71.30600674913482
4_6_0.1,explicit,4,6,0.1,-180.1136103579562
4_6_1.5,pragmatic,4,6,1.5,-65.60808401644398
4_6_1.5,explicit,4,6,1.5,-212.936247237278
4_6_2.0,pragmatic,4,6,2.0,-65.58981409410394
4_6_2.0,explicit,4,6,2.0,-235.68135102475446
4_6_2.5,pragmatic,4,6,2.5,-67.06254640266921
4_6_2.5,explicit,4,6,2.5,-264.3891072534063
4_7_0.5,pragmatic,4,7,0.5,-67.58924401906734
4_7_0.5,explicit,4,7,0.5,-185.44245460573657
4_7_0.1,pragmatic,4,7,0.1,-70.02040862168938
4_7_0.1,explicit,4,7,0.1,-180.1136103579562
4_7_1.5,pragmatic,4,7,1.5,-63.35836335568469
4_7_1.5,explicit,4,7,1.5,-212.936247237278
4_7_2.0,pragmatic,4,7,2.0,-62.706989350963035
4_7_2.0,explicit,4,7,2.0,-235.68135102475446
4_7_2.5,pragmatic,4,7,2.5,-63.30515827901099
4_7_2.5,explicit,4,7,2.5,-264.3891072534063
5_1_0.5,pragmatic,5,1,0.5,-138.43039407512862
5_1_0.5,explicit,5,1,0.5,-185.44245460573657
5_1_0.1,pragmatic,5,1,0.1,-135.63527148626073
5_1_0.1,explicit,5,1,0.1,-180.1136103579562
5_1_1.5,pragmatic,5,1,1.5,-156.83400319968987
5_1_1.5,explicit,5,1,1.5,-212.936247237278
5_1_2.0,pragmatic,5,1,2.0,-174.1212058473997
5_1_2.0,explicit,5,1,2.0,-235.68135102475446
5_1_2.5,pragmatic,5,1,2.5,-197.52819945439805
5_1_2.5,explicit,5,1,2.5,-264.3891072534063
5_2_0.5,pragmatic,5,2,0.5,-105.59699088397106
5_2_0.5,explicit,5,2,0.5,-185.44245460573657
5_2_0.1,pragmatic,5,2,0.1,-104.9215269095133
