configuration,answererType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-156.84791451600316
3_1_0.5,explicit,3,1,0.5,-177.44245460573657
3_1_0.1,pragmatic,3,1,0.1,-160.60313791131034
3_1_0.1,explicit,3,1,0.1,-178.51361035795625
3_1_1.5,pragmatic,3,1,1.5,-158.7006402084057
3_1_1.5,explicit,3,1,1.5,-188.936247237278
3_1_2.0,pragmatic,3,1,2.0,-167.649104386077
3_1_2.0,explicit,3,1,2.0,-203.68135102475446
3_1_2.5,pragmatic,3,1,2.5,-182.72215948120675
3_1_2.5,explicit,3,1,2.5,-224.38910725340628
3_2_0.5,pragmatic,3,2,0.5,-148.8140858659153
3_2_0.5,explicit,3,2,0.5,-177.44245460573657
3_2_0.1,pragmatic,3,2,0.1,-154.70267708905843
3_2_0.1,explicit,3,2,0.1,-178.51361035795625
3_2_1.5,pragmatic,3,2,1.5,-141.98065351866873
3_2_1.5,explicit,3,2,1.5,-188.936247237278
3_2_2.0,pragmatic,3,2,2.0,-144.7575393113865
3_2_2.0,explicit,3,2,2.0,-203.68135102475446
3_2_2.5,pragmatic,3,2,2.5,-152.9421361882224
3_2_2.5,explicit,3,2,2.5,-224.38910725340628
3_3_0.5,pragmatic,3,3,0.5,-152.016417779327
3_3_0.5,explicit,3,3,0.5,-177.44245460573657
3_3_0.1,pragmatic,3,3,0.1,-159.31438228224556
3_3_0.1,explicit,3,3,0.1,-178.51361035795625
3_3_1.5,pragmatic,3,3,1.5,-138.88200755993975
3_3_1.5,explicit,3,3,1.5,-188.936247237278
3_3_2.0,pragmatic,3,3,2.0,-136.5320890053477
3_3_2.0,explicit,3,3,2.0,-203.68135102475446
3_3_2.5,pragmatic,3,3,2.5,-138.19661538803433
3_3_2.5,explicit,3,3,2.5,-224.38910725340628
3_4_0.5,pragmatic,3,4,0.5,-163.53833945338587
3_4_0.5,explicit,3,4,0.5,-177.44245460573657
3_4_0.1,pragmatic,3,4,0.1,-171.6423736061458
3_4_0.1,explicit,3,4,0.1,-178.51361035795625
3_4_1.5,pragmatic,3,4,1.5,-146.59930120916405
3_4_1.5,explicit,3,4,1.5,-188.936247237278
3_4_2.0,pragmatic,3,4,2.0,-140.87116594610762
3_4_2.0,explicit,3,4,2.0,-203.68135102475446
3_4_2.5,pragmatic,3,4,2.5,-137.80166825831827
3_4_2.5,explicit,3,4,2.5,-224.38910725340628
3_5_0.5,pragmatic,3,5,0.5,-180.48411184817863
3_5_0.5,explicit,3,5,0.5,-177.44245460573657
3_5_0.1,pragmatic,3,5,0.1,-189.021817834957
3_5_0.1,explicit,3,5,0.1,-178.51361035795625
3_5_1.5,pragmatic,3,5,1.5,-161.46398974383047
3_5_1.5,explicit,3,5,1.5,-188.936247237278
3_5_2.0,pragmatic,3,5,2.0,-153.81704686736694
3_5_2.0,explicit,3,5,2.0,-203.68135102475446
3_5_2.5,pragmatic,3,5,2.5,-147.91348347125947
3_5_2.5,explicit,3,5,2.5,-224.38910725340628
3_6_0.5,pragmatic,3,6,0.5,-200.79476171495176
3_6_0.5,explicit,3,6,0.5,-177.44245460573657
3_6_0.1,pragmatic,3,6,0.1,-209.57215289758943
3_6_0.1,explicit,3,6,0.1,-178.51361035795625
3_6_1.5,pragmatic,3,6,1.5,-180.64269876456802
3_6_1.5,explicit,3,6,1.5,-188.936247237278
3_6_2.0,pragmatic,3,6,2.0,-171.95726353461004
3_6_2.0,explicit,3,6,2.0,-203.68135102475446
3_6_2.5,pragmatic,3,6,2.5,-164.4991498934029
3_6_2.5,explicit,3,6,2.5,-224.38910725340628
3_7_0.5,pragmatic,3,7,0.5,-223.19893465361162
3_7_0.5,explicit,3,7,0.5,-177.44245460573657
3_7_0.1,pragmatic,3,7,0.1,-232.1228099468187
3_7_0.1,explicit,3,7,0.1,-178.51361035795625
3_7_1.5,pragmatic,3,7,1.5,-202.38377655499897
3_7_1.5,explicit,3,7,1.5,-188.936247237278
3_7_2.0,pragmatic,3,7,2.0,-193.11578902159698
3_7_2.0,explicit,3,7,2.0,-203.68135102475446
3_7_2.5,pragmatic,3,7,2.5,-184.80420327912145
3_7_2.5,explicit,3,7,2.5,-224.38910725340628
4_1_0.5,pragmatic,4,1,0.5,-155.55485674092216
4_1_0.5,explicit,4,1,0.5,-177.44245460573657
4_1_0.1,pragmatic,4,1,0.1,-159.28951522357238
4_1_0.1,explicit,4,1,0.1,-178.51361035795625
4_1_1.5,pragmatic,4,1,1.5,-157.47030268572092
4_1_1.5,explicit,4,1,1.5,-188.936247237278
4_1_2.0,pragmatic,4,1,2.0,-166.44833936441998
4_1_2.0,explicit,4,1,2.0,-203.68135102475446
4_1_2.5,pragmatic,4,1,2.5,-181.54442028902486
4_1_2.5,explicit,4,1,2.5,-224.38910725340628
4_2_0.5,pragmatic,4,2,0.5,-147.30390025284223
4_2_0.5,explicit,4,2,0.5,-177.44245460573657
4_2_0.1,pragmatic,4,2,0.1,-153.17935248413463
4_2_0.1,explicit,4,2,0.1,-178.51361035795625
4_2_1.5,pragmatic,4,2,1.5,-140.46303534589885
4_2_1.5,explicit,4,2,1.5,-188.936247237278
4_2_2.0,pragmatic,4,2,2.0,-143.18942412515543
4_2_2.0,explicit,4,2,2.0,-203.68135102475446
4_2_2.5,pragmatic,4,2,2.5,-151.2852862919058
4_2_2.5,explicit,4,2,2.5,-224.38910725340628
4_3_0.5,pragmatic,4,3,0.5,-151.18498068008992
4_3_0.5,explicit,4,3,0.5,-177.44245460573657
4_3_0.1,pragmatic,4,3,0.1,-158.45114026419577
4_3_0.1,explicit,4,3,0.1,-178.51361035795625
4_3_1.5,pragmatic,4,3,1.5,-138.05461193746183
4_3_1.5,explicit,4,3,1.5,-188.936247237278
4_3_2.0,pragmatic,4,3,2.0,-135.60219447377332
4_3_2.0,explicit,4,3,2.0,-203.68135102475446
4_3_2.5,pragmatic,4,3,2.5,-137.0591219991775
4_3_2.5,explicit,4,3,2.5,-224.38910725340628
4_4_0.5,pragmatic,4,4,0.5,-163.76247682073026
4_4_0.5,explicit,4,4,0.5,-177.44245460573657
4_4_0.1,pragmatic,4,4,0.1,-171.78711726309248
4_4_0.1,explicit,4,4,0.1,-178.51361035795625
4_4_1.5,pragmatic,4,4,1.5,-146.97599607942266
4_4_1.5,explicit,4,4,1.5,-188.936247237278
4_4_2.0,pragmatic,4,4,2.0,-141.20663670814656
4_4_2.0,explicit,4,4,2.0,-203.68135102475446
4_4_2.5,pragmatic,4,4,2.5,-137.94602658350982
4_4_2.5,explicit,4,4,2.5,-224.38910725340628
4_5_0.5,pragmatic,4,5,0.5,-181.74286169610963
4_5_0.5,explicit,4,5,0.5,-177.44245460573657
4_5_0.1,pragmatic,4,5,0.1,-190.14677900557274
4_5_0.1,explicit,4,5,0.1,-178.51361035795625
4_5_1.5,pragmatic,4,5,1.5,-163.0762196820898
4_5_1.5,explicit,4,5,1.5,-188.936247237278
4_5_2.0,pragmatic,4,5,2.0,-155.51520212037917
4_5_2.0,explicit,4,5,2.0,-203.68135102475446
4_5_2.5,pragmatic,4,5,2.5,-149.54772866324714
4_5_2.5,explicit,4,5,2.5,-224.38910725340628
4_6_0.5,pragmatic,4,6,0.5,-202.9105863635906
4_6_0.5,explicit,4,6,0.5,-177.44245460573657
4_6_0.1,pragmatic,4,6,0.1,-211.5059677715945
4_6_0.1,explicit,4,6,0.1,-178.51361035795625
4_6_1.5,pragmatic,4,6,1.5,-183.30012689150755
4_6_1.5,explicit,4,6,1.5,-188.936247237278
4_6_2.0,pragmatic,4,6,2.0,-174.83290960021245
4_6_2.0,explicit,4,6,2.0,-203.68135102475446
4_6_2.5,pragmatic,4,6,2.5,-167.46532405388288
4_6_2.5,explicit,4,6,2.5,-224.38910725340628
4_7_0.5,pragmatic,4,7,0.5,-225.97970125498767
4_7_0.5,explicit,4,7,0.5,-177.44245460573657
4_7_0.1,pragmatic,4,7,0.1,-234.6820943969929
4_7_0.1,explicit,4,7,0.1,-178.51361035795625
4_7_1.5,pragmatic,4,7,1.5,-205.86321878670827
4_7_1.5,explicit,4,7,1.5,-188.936247237278
4_7_2.0,pragmatic,4,7,2.0,-196.92717162892583
4_7_2.0,explicit,4,7,2.0,-203.68135102475446
4_7_2.5,pragmatic,4,7,2.5,-188.84429827021646
4_7_2.5,explicit,4,7,2.5,-224.38910725340628
5_1_0.5,pragmatic,5,1,0.5,-154.61561636436838
5_1_0.5,explicit,5,1,0.5,-177.44245460573657
5_1_0.1,pragmatic,5,1,0.1,-158.33969295531332
5_1_0.1,explicit,5,1,0.1,-178.51361035795625
5_1_1.5,pragmatic,5,1,1.5,-156.55890441628043
5_1_1.5,explicit,5,1,1.5,-188.936247237278
5_1_2.0,pragmatic,5,1,2.0,-165.54668073915343
5_1_2.0,explicit,5,1,2.0,-203.68135102475446
5_1_2.5,pragmatic,5,1,2.5,-180.64759302074145
5_1_2.5,explicit,5,1,2.5,-224.38910725340628
5_2_0.5,pragmatic,5,2,0.5,-146.59948761646058
5_2_0.5,explicit,5,2,0.5,-177.44245460573657
5_2_0.1,pragmatic,5,2,0.1,-152.4844845023271
5_2_0.1,explicit,5,2,0.1,-178.51361035795625
5_2_1.5,pragmatic,5,2,1.5,-139.6700971821513
5_2_1.5,explicit,5,2,1.5,-188.936247237278
5_2_2.0,pragmatic,5,2,2.0,-142.29789621317002
5_2_2.0,explicit,5,2,2.0,-203.68135102475446
5_2_2.5,pragmatic,5,2,2.5,-150.2582991174461
5_2_2.5,explicit,5,2,2.5,-224.38910725340628
5_3_0.5,pragmatic,5,3,0.5,-151.6257707506318
5_3_0.5,explicit,5,3,0.5,-177.44245460573657
5_3_0.1,pragmatic,5,3,0.1,-158.89318800006092
5_3_0.1,explicit,5,3,0.1,-178.51361035795625
5_3_1.5,pragmatic,5,3,1.5,-138.38823697203478
5_3_1.5,explicit,5,3,1.5,-188.936247237278
5_3_2.0,pragmatic,5,3,2.0,-135.77410069083584
5_3_2.0,explicit,5,3,2.0,-203.68135102475446
5_3_2.5,pragmatic,5,3,2.5,-136.9706132246428
5_3_2.5,explicit,5,3,2.5,-224.38910725340628
