configuration,answererType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-149.22484488815616
3_1_0.5,explicit,3,1,0.5,-185.44245460573657
3_1_0.1,pragmatic,3,1,0.1,-146.50676811747715
3_1_0.1,explicit,3,1,0.1,-180.1136103579562
3_1_1.5,pragmatic,3,1,1.5,-167.34007050555354
3_1_1.5,explicit,3,1,1.5,-212.936247237278
3_1_2.0,pragmatic,3,1,2.0,-184.44575267909468
3_1_2.0,explicit,3,1,2.0,-235.68135102475446
3_1_2.5,pragmatic,3,1,2.5,-207.67122090525737
3_1_2.5,explicit,3,1,2.5,-264.3891072534063
3_2_0.5,pragmatic,3,2,0.5,-124.92146436598009
3_2_0.5,explicit,3,2,0.5,-185.44245460573657
3_2_0.1,pragmatic,3,2,0.1,-124.28739439600224
3_2_0.1,explicit,3,2,0.1,-180.1136103579562
3_2_1.5,pragmatic,3,2,1.5,-134.58305957523174
3_2_1.5,explicit,3,2,1.5,-212.936247237278
3_2_2.0,pragmatic,3,2,2.0,-145.70569165801956
3_2_2.0,explicit,3,2,2.0,-235.68135102475446
3_2_2.5,pragmatic,3,2,2.5,-162.26887944814942
3_2_2.5,explicit,3,2,2.5,-264.3891072534063
3_3_0.5,pragmatic,3,3,0.5,-111.27520977632577
3_3_0.5,explicit,3,3,0.5,-185.44245460573657
3_3_0.1,pragmatic,3,3,0.1,-112.04048986437164
3_3_0.1,explicit,3,3,0.1,-180.1136103579562
3_3_1.5,pragmatic,3,3,1.5,-114.73836894464486
3_3_1.5,explicit,3,3,1.5,-212.936247237278
3_3_2.0,pragmatic,3,3,2.0,-120.86769442397672
3_3_2.0,explicit,3,3,2.0,-235.68135102475446
3_3_2.5,pragmatic,3,3,2.5,-131.12280210169715
3_3_2.5,explicit,3,3,2.5,-264.3891072534063
3_4_0.5,pragmatic,3,4,0.5,-105.59974020204123
3_4_0.5,explicit,3,4,0.5,-185.44245460573657
3_4_0.1,pragmatic,3,4,0.1,-107.19379962501544
3_4_0.1,explicit,3,4,0.1,-180.1136103579562
3_4_1.5,pragmatic,3,4,1.5,-105.21464846196176
3_4_1.5,explicit,3,4,1.5,-212.936247237278
3_4_2.0,pragmatic,3,4,2.0,-107.98731451170272
3_4_2.0,explicit,3,4,2.0,-235.68135102475446
3_4_2.5,pragmatic,3,4,2.5,-113.59743300252934
3_4_2.5,explicit,3,4,2.5,-264.3891072534063
3_5_0.5,pragmatic,3,5,0.5,-105.18674006969856
3_5_0.5,explicit,3,5,0.5,-185.44245460573657
3_5_0.1,pragmatic,3,5,0.1,-107.25174700222686
3_5_0.1,explicit,3,5,0.1,-180.1136103579562
3_5_1.5,pragmatic,3,5,1.5,-102.59973199601588
3_5_1.5,explicit,3,5,1.5,-212.936247237278
3_5_2.0,pragmatic,3,5,2.0,-103.39933645551365
3_5_2.0,explicit,3,5,2.0,-235.68135102475446
3_5_2.5,pragmatic,3,5,2.5,-106.1525998708369
3_5_2.5,explicit,3,5,2.5,-264.3891072534063
3_6_0.5,pragmatic,3,6,0.5,-108.05936545365003
3_6_0.5,explicit,3,6,0.5,-185.44245460573657
3_6_0.1,pragmatic,3,6,0.1,-110.40502145063425
3_6_0.1,explicit,3,6,0.1,-180.1136103579562
3_6_1.5,pragmatic,3,6,1.5,-104.19446176670722
3_6_1.5,explicit,3,6,1.5,-212.936247237278
3_6_2.0,pragmatic,3,6,2.0,-103.87137423961212
3_6_2.0,explicit,3,6,2.0,-235.68135102475446
3_6_2.5,pragmatic,3,6,2.5,-104.99617913997606
3_6_2.5,explicit,3,6,2.5,-264.3891072534063
3_7_0.5,pragmatic,3,7,0.5,-112.97760538358646
3_7_0.5,explicit,3,7,0.5,-185.44245460573657
3_7_0.1,pragmatic,3,7,0.1,-115.50983645519837
3_7_0.1,explicit,3,7,0.1,-180.1136103579562
3_7_1.5,pragmatic,3,7,1.5,-108.30085679834245
3_7_1.5,explicit,3,7,1.5,-212.936247237278
3_7_2.0,pragmatic,3,7,2.0,-107.30222504701887
3_7_2.0,explicit,3,7,2.0,-235.68135102475446
3_7_2.5,pragmatic,3,7,2.5,-107.48111484770564
3_7_2.5,explicit,3,7,2.5,-264.3891072534063
4_1_0.5,pragmatic,4,1,0.5,-147.52270655716666
4_1_0.5,explicit,4,1,0.5,-185.44245460573657
4_1_0.1,pragmatic,4,1,0.1,-144.81271063443717
4_1_0.1,explicit,4,1,0.1,-180.1136103579562
4_1_1.5,pragmatic,4,1,1.5,-165.59379647349877
4_1_1.5,explicit,4,1,1.5,-212.936247237278
4_1_2.0,pragmatic,4,1,2.0,-182.6615654815035
4_1_2.0,explicit,4,1,2.0,-235.68135102475446
4_1_2.5,pragmatic,4,1,2.5,-205.8418973485155
4_1_2.5,explicit,4,1,2.5,-264.3891072534063
4_2_0.5,pragmatic,4,2,0.5,-122.61243617806673
4_2_0.5,explicit,4,2,0.5,-185.44245460573657
4_2_0.1,pragmatic,4,2,0.1,-122.0080455779964
4_2_0.1,explicit,4,2,0.1,-180.1136103579562
4_2_1.5,pragmatic,4,2,1.5,-132.10193488454948
4_2_1.5,explicit,4,2,1.5,-212.936247237278
4_2_2.0,pragmatic,4,2,2.0,-143.06199562673655
4_2_2.0,explicit,4,2,2.0,-235.68135102475446
4_2_2.5,pragmatic,4,2,2.5,-159.4123624551702
4_2_2.5,explicit,4,2,2.5,-264.3891072534063
4_3_0.5,pragmatic,4,3,0.5,-109.2360507378116
4_3_0.5,explicit,4,3,0.5,-185.44245460573657
4_3_0.1,pragmatic,4,3,0.1,-110.01840840410985
4_3_0.1,explicit,4,3,0.1,-180.1136103579562
4_3_1.5,pragmatic,4,3,1.5,-112.52208785396053
4_3_1.5,explicit,4,3,1.5,-212.936247237278
4_3_2.0,pragmatic,4,3,2.0,-118.42618104882017
4_3_2.0,explicit,4,3,2.0,-235.68135102475446
4_3_2.5,pragmatic,4,3,2.5,-128.33085765203205
4_3_2.5,explicit,4,3,2.5,-264.3891072534063
4_4_0.5,pragmatic,4,4,0.5,-104.16713391807293
4_4_0.5,explicit,4,4,0.5,-185.44245460573657
4_4_0.1,pragmatic,4,4,0.1,-105.7354921329601
4_4_0.1,explicit,4,4,0.1,-180.1136103579562
4_4_1.5,pragmatic,4,4,1.5,-103.75136505350633
4_4_1.5,explicit,4,4,1.5,-212.936247237278
4_4_2.0,pragmatic,4,4,2.0,-106.36994321238231
4_4_2.0,explicit,4,4,2.0,-235.68135102475446
4_4_2.5,pragmatic,4,4,2.5,-111.66194747793004
4_4_2.5,explicit,4,4,2.5,-264.3891072534063
4_5_0.5,pragmatic,4,5,0.5,-104.31160538518574
4_5_0.5,explicit,4,5,0.5,-185.44245460573657
4_5_0.1,pragmatic,4,5,0.1,-106.30306555386346
4_5_0.1,explicit,4,5,0.1,-180.1136103579562
4_5_1.5,pragmatic,4,5,1.5,-101.88715772833413
4_5_1.5,explicit,4,5,1.5,-212.936247237278
4_5_2.0,pragmatic,4,5,2.0,-102.66905133410873
4_5_2.0,explicit,4,5,2.0,-235.68135102475446
4_5_2.5,pragmatic,4,5,2.5,-105.25400249749234
4_5_2.5,explicit,4,5,2.5,-264.3891072534063
4_6_0.5,pragmatic,4,6,0.5,-107.57525215242251
4_6_0.5,explicit,4,6,0.5,-185.44245460573657
4_6_0.1,pragmatic,4,6,0.1,-109.80673888599125
4_6_0.1,explicit,4,6,0.1,-180.1136103579562
4_6_1.5,pragmatic,4,6,1.5,-104.04578884242763
4_6_1.5,explicit,4,6,1.5,-212.936247237278
4_6_2.0,pragmatic,4,6,2.0,-103.8382357214223
4_6_2.0,explicit,4,6,2.0,-235.68135102475446
4_6_2.5,pragmatic,4,6,2.5,-104.96037034772624
4_6_2.5,explicit,4,6,2.5,-264.3891072534063
4_7_0.5,pragmatic,4,7,0.5,-112.73707763281563
4_7_0.5,explicit,4,7,0.5,-185.44245460573657
4_7_0.1,pragmatic,4,7,0.1,-115.12293605667814
4_7_0.1,explicit,4,7,0.1,-180.1136103579562
4_7_1.5,pragmatic,4,7,1.5,-108.53569286739096
4_7_1.5,explicit,4,7,1.5,-212.936247237278
4_7_2.0,pragmatic,4,7,2.0,-107.7628548824535
4_7_2.0,explicit,4,7,2.0,-235.68135102475446
4_7_2.5,pragmatic,4,7,2.5,-108.07990354690833
4_7_2.5,explicit,4,7,2.5,-264.3891072534063
5_1_0.5,pragmatic,5,1,0.5,-146.15858359014666
5_1_0.5,explicit,5,1,0.5,-185.44245460573657
5_1_0.1,pragmatic,5,1,0.1,-143.45712651866296
5_1_0.1,explicit,5,1,0.1,-180.1136103579562
5_1_1.5,pragmatic,5,1,1.5,-164.18624736301376
5_1_1.5,explicit,5,1,1.5,-212.936247237278
5_1_2.0,pragmatic,5,1,2.0,-181.21823127083178
5_1_2.0,explicit,5,1,2.0,-235.68135102475446
5_1_2.5,pragmatic,5,1,2.5,-204.35661671741428
5_1_2.5,explicit,5,1,2.5,-264.3891072534063
5_2_0.5,pragmatic,5,2,0.5,-121.04290231040603
5_2_0.5,explicit,5,2,0.5,-185.44245460573657
5_2_0.1,pragmatic,5,2,0.1,-120.47066977849687
5_2_0.1,explicit,5,2,0.1,-180.1136103579562
5_2_1.5,pragmatic,5,2,1.5,-130.3563946163679
5_2_1.5,explicit,5,2,1.5,-212.936247237278
5_2_2.0,pragmatic,5,2,2.0,-141.15503395575996
5_2_2.0,explicit,5,2,2.0,-235.68135102475446
5_2_2.5,pragmatic,5,2,2.5,-157.29517299347782
5_2_2.5,explicit,5,2,2.5,-264.3891072534063
5_3_0.5,pragmatic,5,3,0.5,-108.3061218288577
5_3_0.5,explicit,5,3,0.5,-185.44245460573657
5_3_0.1,pragmatic,5,3,0.1,-109.10919107246983
5_3_0.1,explicit,5,3,0.1,-180.1136103579562
5_3_1.5,pragmatic,5,3,1.5,-111.4171115726101
5_3_1.5,explicit,5,3,1.5,-212.936247237278
5_3_2.0,pragmatic,5,3,2.0,-117.11153464242096
5_3_2.0,explicit,5,3,2.0,-235.68135102475446
5_3_2.5,pragmatic,5,3,2.5,-126.69251079196405
5_3_2.5,explicit,5,3,2.5,-264.3891072534063
5_4_0.5,pragmatic,5,4,0.5,-104.1204177315936
5_4_0.5,explicit,5,4,0.5,-185.44245460573657
5_4_0.1,pragmatic,5,4,0.1,-105.67271364466427
5_4_0.1,explicit,5,4,0.1,-180.1136103579562
5_4_1.5,pragmatic,5,4,1.5,-103.66218520850592
5_4_1.5,explicit,5,4,1.5,-212.936247237278
5_4_2.0,pragmatic,5,4,2.0,-106.14692958182681
5_4_2.0,explicit,5,4,2.0,-235.68135102475446
5_4_2.5,pragmatic,5,4,2.5,-111.17330992380097
5_4_2.5,explicit,5,4,2.5,-264.3891072534063
5_5_0.5,pragmatic,5,5,0.5,-105.0614382777781
5_5_0.5,explicit,5,5,0.5,-185.44245460573657
5_5_0.1,pragmatic,5,5,0.1,-106.99809655801714
5_5_0.1,explicit,5,5,0.1,-180.1136103579562
5_5_1.5,pragmatic,5,5,1.5,-102.75031372753806
5_5_1.5,explicit,5,5,1.5,-212.936247237278
5_5_2.0,pragmatic,5,5,2.0,-103.51145140376589
5_5_2.0,explicit,5,5,2.0,-235.68135102475446
5_5_2.5,pragmatic,5,5,2.5,-105.96425321104722
5_5_2.5,explicit,5,5,2.5,-264.3891072534063
5_6_0.5,pragmatic,5,6,0.5,-108.9805117179412
5_6_0.5,explicit,5,6,0.5,-185.44245460573657
5_6_0.1,pragmatic,5,6,0.1,-111.12377719508066
5_6_0.1,explicit,5,6,0.1,-180.1136103579562
5_6_1.5,pragmatic,5,6,1.5,-105.69960520834401
5_6_1.5,explicit,5,6,1.5,-212.936247237278
5_6_2.0,pragmatic,5,6,2.0,-105.57173421598773
5_6_2.0,explicit,5,6,2.0,-235.68135102475446
5_6_2.5,pragmatic,5,6,2.5,-106.68657029934407
5_6_2.5,explicit,5,6,2.5,-264.3891072534063
5_7_0.5,pragmatic,5,7,0.5,-114.69435286717905
5_7_0.5,explicit,5,7,0.5,-185.44245460573657
5_7_0.1,pragmatic,5,7,0.1,-116.9635335405171
5_7_0.1,explicit,5,7,0.1,-180.1136103579562
5_7_1.5,pragmatic,5,7,1.5,-110.85447466784123
5_7_1.5,explicit,5,7,1.5,-212.936247237278
5_7_2.0,pragmatic,5,7,2.0,-110.2431806679079
5_7_2.0,explicit,5,7,2.0,-235.68135102475446
5_7_2.5,pragmatic,5,7,2.5,-110.65357409598721
5_7_2.5,explicit,5,7,2.5,-264.3891072534063
6_1_0.5,pragmatic,6,1,0.5,-145.14231831602274
6_1_0.5,explicit,6,1,0.5,-185.44245460573657
6_1_0.1,pragmatic,6,1,0.1,-142.44572920926254
6_1_0.1,explicit,6,1,0.1,-180.1136103579562
6_1_1.5,pragmatic,6,1,1.5,-163.14179755604135
6_1_1.5,explicit,6,1,1.5,-212.936247237278
6_1_2.0,pragmatic,6,1,2.0,-180.14873474264232
6_1_2.0,explicit,6,1,2.0,-235.68135102475446
6_1_2.5,pragmatic,6,1,2.5,-203.2567504653127
6_1_2.5,explicit,6,1,2.5,-264.3891072534063
6_2_0.5,pragmatic,6,2,0.5,-120.07426537324937
6_2_0.5,explicit,6,2,0.5,-185.44245460573657
6_2_0.1,pragmatic,6,2,0.1,-119.52830939362654
6_2_0.1,explicit,6,2,0.1,-180.1136103579562
6_2_1.5,pragmatic,6,2,1.5,-129.243948935892
6_2_1.5,explicit,6,2,1.5,-212.936247237278
6_2_2.0,pragmatic,6,2,2.0,-139.91004648285156
6_2_2.0,explicit,6,2,2.0,-235.68135102475446
6_2_2.5,pragmatic,6,2,2.5,-155.8758853193814
6_2_2.5,explicit,6,2,2.5,-264.3891072534063
6_3_0.5,pragmatic,6,3,0.5,-108.10936356548181
6_3_0.5,explicit,6,3,0.5,-185.44245460573657
6_3_0.1,pragmatic,6,3,0.1,-108.92996799153565
6_3_0.1,explicit,6,3,0.1,-180.1136103579562
6_3_1.5,pragmatic,6,3,1.5,-111.0800027937
6_3_1.5,explicit,6,3,1.5,-212.936247237278
6_3_2.0,pragmatic,6,3,2.0,-116.60913340978686
6_3_2.0,explicit,6,3,2.0,-235.68135102475446
6_3_2.5,pragmatic,6,3,2.5,-125.93386531533162
6_3_2.5,explicit,6,3,2.5,-264.3891072534063
6_4_0.5,pragmatic,6,4,0.5,-104.8730602664289
6_4_0.5,explicit,6,4,0.5,-185.44245460573657
6_4_0.1,pragmatic,6,4,0.1,-106.41490783240621
6_4_0.1,explicit,6,4,0.1,-180.1136103579562
6_4_1.5,pragmatic,6,4,1.5,-104.37849198846034
6_4_1.5,explicit,6,4,1.5,-212.936247237278
