configuration,answererType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-149.41119539497592
3_1_0.5,explicit,3,1,0.5,-183.44245460573657
3_1_0.1,pragmatic,3,1,0.1,-148.26700600563382
3_1_0.1,explicit,3,1,0.1,-179.7136103579562
3_1_1.5,pragmatic,3,1,1.5,-163.63810731383373
3_1_1.5,explicit,3,1,1.5,-206.936247237278
3_1_2.0,pragmatic,3,1,2.0,-178.8255062407321
3_1_2.0,explicit,3,1,2.0,-227.68135102475446
3_1_2.5,pragmatic,3,1,2.5,-200.14195553801497
3_1_2.5,explicit,3,1,2.5,-254.38910725340628
3_2_0.5,pragmatic,3,2,0.5,-127.98261169380235
3_2_0.5,explicit,3,2,0.5,-183.44245460573657
3_2_0.1,pragmatic,3,2,0.1,-128.95265518225878
3_2_0.1,explicit,3,2,0.1,-179.7136103579562
3_2_1.5,pragmatic,3,2,1.5,-133.64826528564274
3_2_1.5,explicit,3,2,1.5,-206.936247237278
3_2_2.0,pragmatic,3,2,2.0,-142.79395939614105
3_2_2.0,explicit,3,2,2.0,-227.68135102475446
3_2_2.5,pragmatic,3,2,2.5,-157.403796738739
3_2_2.5,explicit,3,2,2.5,-254.38910725340628
3_3_0.5,pragmatic,3,3,0.5,-117.98620506911249
3_3_0.5,explicit,3,3,0.5,-183.44245460573657
3_3_0.1,pragmatic,3,3,0.1,-120.38663142495832
3_3_0.1,explicit,3,3,0.1,-179.7136103579562
3_3_1.5,pragmatic,3,3,1.5,-117.30588535679541
3_3_1.5,explicit,3,3,1.5,-206.936247237278
3_3_2.0,pragmatic,3,3,2.0,-121.3334706598578
3_3_2.0,explicit,3,3,2.0,-227.68135102475446
3_3_2.5,pragmatic,3,3,2.5,-129.47853860883473
3_3_2.5,explicit,3,3,2.5,-254.38910725340628
3_4_0.5,pragmatic,3,4,0.5,-116.48250633103572
3_4_0.5,explicit,3,4,0.5,-183.44245460573657
3_4_0.1,pragmatic,3,4,0.1,-119.71923026221597
3_4_0.1,explicit,3,4,0.1,-179.7136103579562
3_4_1.5,pragmatic,3,4,1.5,-111.89884212520411
3_4_1.5,explicit,3,4,1.5,-206.936247237278
3_4_2.0,pragmatic,3,4,2.0,-112.50112735287183
3_4_2.0,explicit,3,4,2.0,-227.68135102475446
3_4_2.5,pragmatic,3,4,2.5,-115.88454852219684
3_4_2.5,explicit,3,4,2.5,-254.38910725340628
3_5_0.5,pragmatic,3,5,0.5,-120.47925315382285
3_5_0.5,explicit,3,5,0.5,-183.44245460573657
3_5_0.1,pragmatic,3,5,0.1,-124.17941146076397
3_5_0.1,explicit,3,5,0.1,-179.7136103579562
3_5_1.5,pragmatic,3,5,1.5,-113.71327902584608
3_5_1.5,explicit,3,5,1.5,-206.936247237278
3_5_2.0,pragmatic,3,5,2.0,-112.34258054768561
3_5_2.0,explicit,3,5,2.0,-227.68135102475446
3_5_2.5,pragmatic,3,5,2.5,-112.84785829802489
3_5_2.5,explicit,3,5,2.5,-254.38910725340628
3_6_0.5,pragmatic,3,6,0.5,-127.84658804264005
3_6_0.5,explicit,3,6,0.5,-183.44245460573657
3_6_0.1,pragmatic,3,6,0.1,-131.81601590942032
3_6_0.1,explicit,3,6,0.1,-179.7136103579562
3_6_1.5,pragmatic,3,6,1.5,-119.84725766038041
3_6_1.5,explicit,3,6,1.5,-206.936247237278
3_6_2.0,pragmatic,3,6,2.0,-117.38347451879508
3_6_2.0,explicit,3,6,2.0,-227.68135102475446
3_6_2.5,pragmatic,3,6,2.5,-116.29061230119994
3_6_2.5,explicit,3,6,2.5,-254.38910725340628
3_7_0.5,pragmatic,3,7,0.5,-137.2886584777364
3_7_0.5,explicit,3,7,0.5,-183.44245460573657
3_7_0.1,pragmatic,3,7,0.1,-141.43496151887442
3_7_0.1,explicit,3,7,0.1,-179.7136103579562
3_7_1.5,pragmatic,3,7,1.5,-128.51977692130194
3_7_1.5,explicit,3,7,1.5,-206.936247237278
3_7_2.0,pragmatic,3,7,2.0,-125.41347768197244
3_7_2.0,explicit,3,7,2.0,-227.68135102475446
3_7_2.5,pragmatic,3,7,2.5,-123.41620370264323
3_7_2.5,explicit,3,7,2.5,-254.38910725340628
4_1_0.5,pragmatic,4,1,0.5,-146.92184303048583
4_1_0.5,explicit,4,1,0.5,-183.44245460573657
4_1_0.1,pragmatic,4,1,0.1,-145.78200081278197
4_1_0.1,explicit,4,1,0.1,-179.7136103579562
4_1_1.5,pragmatic,4,1,1.5,-161.12240372398804
4_1_1.5,explicit,4,1,1.5,-206.936247237278
4_1_2.0,pragmatic,4,1,2.0,-176.28620740602832
4_1_2.0,explicit,4,1,2.0,-227.68135102475446
4_1_2.5,pragmatic,4,1,2.5,-197.5743012589873
4_1_2.5,explicit,4,1,2.5,-254.38910725340628
4_2_0.5,pragmatic,4,2,0.5,-124.26056302401693
4_2_0.5,explicit,4,2,0.5,-183.44245460573657
4_2_0.1,pragmatic,4,2,0.1,-125.25931768880193
4_2_0.1,explicit,4,2,0.1,-179.7136103579562
4_2_1.5,pragmatic,4,2,1.5,-129.75682550125032
4_2_1.5,explicit,4,2,1.5,-206.936247237278
4_2_2.0,pragmatic,4,2,2.0,-138.7427347751393
4_2_2.0,explicit,4,2,2.0,-227.68135102475446
4_2_2.5,pragmatic,4,2,2.5,-153.1450846525911
4_2_2.5,explicit,4,2,2.5,-254.38910725340628
4_3_0.5,pragmatic,4,3,0.5,-114.07164752881638
4_3_0.5,explicit,4,3,0.5,-183.44245460573657
4_3_0.1,pragmatic,4,3,0.1,-116.48723203003755
4_3_0.1,explicit,4,3,0.1,-179.7136103579562
4_3_1.5,pragmatic,4,3,1.5,-113.20894082952663
4_3_1.5,explicit,4,3,1.5,-206.936247237278
4_3_2.0,pragmatic,4,3,2.0,-116.99959184876221
4_3_2.0,explicit,4,3,2.0,-227.68135102475446
4_3_2.5,pragmatic,4,3,2.5,-124.77625699971884
4_3_2.5,explicit,4,3,2.5,-254.38910725340628
4_4_0.5,pragmatic,4,4,0.5,-112.76864610125214
4_4_0.5,explicit,4,4,0.5,-183.44245460573657
4_4_0.1,pragmatic,4,4,0.1,-115.97150333431473
4_4_0.1,explicit,4,4,0.1,-179.7136103579562
4_4_1.5,pragmatic,4,4,1.5,-108.16557742897909
4_4_1.5,explicit,4,4,1.5,-206.936247237278
4_4_2.0,pragmatic,4,4,2.0,-108.6079867844887
4_4_2.0,explicit,4,4,2.0,-227.68135102475446
4_4_2.5,pragmatic,4,4,2.5,-111.65705448582591
4_4_2.5,explicit,4,4,2.5,-254.38910725340628
4_5_0.5,pragmatic,4,5,0.5,-116.88063941740313
4_5_0.5,explicit,4,5,0.5,-183.44245460573657
4_5_0.1,pragmatic,4,5,0.1,-120.49275815913566
4_5_0.1,explicit,4,5,0.1,-179.7136103579562
4_5_1.5,pragmatic,4,5,1.5,-110.30881412102751
4_5_1.5,explicit,4,5,1.5,-206.936247237278
4_5_2.0,pragmatic,4,5,2.0,-108.9280808533637
4_5_2.0,explicit,4,5,2.0,-227.68135102475446
4_5_2.5,pragmatic,4,5,2.5,-109.26703336409759
4_5_2.5,explicit,4,5,2.5,-254.38910725340628
4_6_0.5,pragmatic,4,6,0.5,-124.1209883297958
4_6_0.5,explicit,4,6,0.5,-183.44245460573657
4_6_0.1,pragmatic,4,6,0.1,-127.95787554359187
4_6_0.1,explicit,4,6,0.1,-179.7136103579562
4_6_1.5,pragmatic,4,6,1.5,-116.4993632341025
4_6_1.5,explicit,4,6,1.5,-206.936247237278
4_6_2.0,pragmatic,4,6,2.0,-114.16553492175159
4_6_2.0,explicit,4,6,2.0,-227.68135102475446
4_6_2.5,pragmatic,4,6,2.5,-113.0835091709086
4_6_2.5,explicit,4,6,2.5,-254.38910725340628
4_7_0.5,pragmatic,4,7,0.5,-133.20817154581178
4_7_0.5,explicit,4,7,0.5,-183.44245460573657
4_7_0.1,pragmatic,4,7,0.1,-137.18813855166647
4_7_0.1,explicit,4,7,0.1,-179.7136103579562
4_7_1.5,pragmatic,4,7,1.5,-124.95793928986889
4_7_1.5,explicit,4,7,1.5,-206.936247237278
4_7_2.0,pragmatic,4,7,2.0,-122.09016851065738
4_7_2.0,explicit,4,7,2.0,-227.68135102475446
4_7_2.5,pragmatic,4,7,2.5,-120.24338029907898
4_7_2.5,explicit,4,7,2.5,-254.38910725340628
5_1_0.5,pragmatic,5,1,0.5,-144.9965622491517
5_1_0.5,explicit,5,1,0.5,-183.44245460573657
5_1_0.1,pragmatic,5,1,0.1,-143.85746438927686
5_1_0.1,explicit,5,1,0.1,-179.7136103579562
5_1_1.5,pragmatic,5,1,1.5,-159.1877737213291
5_1_1.5,explicit,5,1,1.5,-206.936247237278
5_1_2.0,pragmatic,5,1,2.0,-174.3412485102097
5_1_2.0,explicit,5,1,2.0,-227.68135102475446
5_1_2.5,pragmatic,5,1,2.5,-195.61605330591226
5_1_2.5,explicit,5,1,2.5,-254.38910725340628
5_2_0.5,pragmatic,5,2,0.5,-121.66880574082742
5_2_0.5,explicit,5,2,0.5,-183.44245460573657
5_2_0.1,pragmatic,5,2,0.1,-122.6961928332795
5_2_0.1,explicit,5,2,0.1,-179.7136103579562
5_2_1.5,pragmatic,5,2,1.5,-127.00905757418786
5_2_1.5,explicit,5,2,1.5,-206.936247237278
5_2_2.0,pragmatic,5,2,2.0,-135.85436199450683
5_2_2.0,explicit,5,2,2.0,-227.68135102475446
5_2_2.5,pragmatic,5,2,2.5,-150.07691335136246
5_2_2.5,explicit,5,2,2.5,-254.38910725340628
5_3_0.5,pragmatic,5,3,0.5,-111.775383541051
5_3_0.5,explicit,5,3,0.5,-183.44245460573657
5_3_0.1,pragmatic,5,3,0.1,-114.21267186836624
5_3_0.1,explicit,5,3,0.1,-179.7136103579562
5_3_1.5,pragmatic,5,3,1.5,-110.73602998203052
5_3_1.5,explicit,5,3,1.5,-206.936247237278
5_3_2.0,pragmatic,5,3,2.0,-114.32125674993644
5_3_2.0,explicit,5,3,2.0,-227.68135102475446
5_3_2.5,pragmatic,5,3,2.5,-121.78622142341268
5_3_2.5,explicit,5,3,2.5,-254.38910725340628
5_4_0.5,pragmatic,5,4,0.5,-111.03137248228947
5_4_0.5,explicit,5,4,0.5,-183.44245460573657
5_4_0.1,pragmatic,5,4,0.1,-114.22119124256832
5_4_0.1,explicit,5,4,0.1,-179.7136103579562
5_4_1.5,pragmatic,5,4,1.5,-106.37567880612534
5_4_1.5,explicit,5,4,1.5,-206.936247237278
5_4_2.0,pragmatic,5,4,2.0,-106.68402889618946
5_4_2.0,explicit,5,4,2.0,-227.68135102475446
5_4_2.5,pragmatic,5,4,2.5,-109.47666795885587
5_4_2.5,explicit,5,4,2.5,-254.38910725340628
5_5_0.5,pragmatic,5,5,0.5,-115.56487322439666
5_5_0.5,explicit,5,5,0.5,-183.44245460573657
5_5_0.1,pragmatic,5,5,0.1,-119.12817387116407
5_5_0.1,explicit,5,5,0.1,-179.7136103579562
5_5_1.5,pragmatic,5,5,1.5,-109.08515664447819
5_5_1.5,explicit,5,5,1.5,-206.936247237278
5_5_2.0,pragmatic,5,5,2.0,-107.67937174908838
5_5_2.0,explicit,5,5,2.0,-227.68135102475446
5_5_2.5,pragmatic,5,5,2.5,-107.89776936254395
5_5_2.5,explicit,5,5,2.5,-254.38910725340628
5_6_0.5,pragmatic,5,6,0.5,-123.02173458992733
