configuration,questionerType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-154.61818309448572
3_1_0.5,explicit,3,1,0.5,-155.61322969710108
3_1_0.1,pragmatic,3,1,0.1,-154.75429677522993
3_1_0.1,explicit,3,1,0.1,-155.83011818422105
3_1_1.5,pragmatic,3,1,1.5,-154.19241471735265
3_1_1.5,explicit,3,1,1.5,-154.92217408691985
3_1_2.0,pragmatic,3,1,2.0,-153.98417843478356
3_1_2.0,explicit,3,1,2.0,-154.5657251174166
3_1_2.5,pragmatic,3,1,2.5,-153.81628949364554
3_1_2.5,explicit,3,1,2.5,-154.25625819832388
3_2_0.5,pragmatic,3,2,0.5,-153.405164786905
3_2_0.5,explicit,3,2,0.5,-155.61322969710108
3_2_0.1,pragmatic,3,2,0.1,-153.5040686880451
3_2_0.1,explicit,3,2,0.1,-155.83011818422105
3_2_1.5,pragmatic,3,2,1.5,-153.12349622911898
3_2_1.5,explicit,3,2,1.5,-154.92217408691985
3_2_2.0,pragmatic,3,2,2.0,-153.02187773450345
3_2_2.0,explicit,3,2,2.0,-154.5657251174166
3_2_2.5,pragmatic,3,2,2.5,-152.98735328310406
3_2_2.5,explicit,3,2,2.5,-154.25625819832388
3_3_0.5,pragmatic,3,3,0.5,-152.36660906465306
3_3_0.5,explicit,3,3,0.5,-155.61322969710108
3_3_0.1,pragmatic,3,3,0.1,-152.46533262763205
3_3_0.1,explicit,3,3,0.1,-155.83011818422105
3_3_1.5,pragmatic,3,3,1.5,-152.07377497532318
3_3_1.5,explicit,3,3,1.5,-154.92217408691985
3_3_2.0,pragmatic,3,3,2.0,-151.96498119389108
3_3_2.0,explicit,3,3,2.0,-154.5657251174166
3_3_2.5,pragmatic,3,3,2.5,-151.94103161927274
3_3_2.5,explicit,3,3,2.5,-154.25625819832388
3_4_0.5,pragmatic,3,4,0.5,-151.6784194047272
3_4_0.5,explicit,3,4,0.5,-155.61322969710108
3_4_0.1,pragmatic,3,4,0.1,-151.78292029025891
3_4_0.1,explicit,3,4,0.1,-155.83011818422105
3_4_1.5,pragmatic,3,4,1.5,-151.3344339765216
3_4_1.5,explicit,3,4,1.5,-154.92217408691985
3_4_2.0,pragmatic,3,4,2.0,-151.1654826883634
3_4_2.0,explicit,3,4,2.0,-154.5657251174166
3_4_2.5,pragmatic,3,4,2.5,-151.0585451199194
3_4_2.5,explicit,3,4,2.5,-154.25625819832388
3_5_0.5,pragmatic,3,5,0.5,-151.2827947504894
3_5_0.5,explicit,3,5,0.5,-155.61322969710108
3_5_0.1,pragmatic,3,5,0.1,-151.3865782552392
3_5_0.1,explicit,3,5,0.1,-155.83011818422105
3_5_1.5,pragmatic,3,5,1.5,-150.91654378819567
3_5_1.5,explicit,3,5,1.5,-154.92217408691985
3_5_2.0,pragmatic,3,5,2.0,-150.70252212823416
3_5_2.0,explicit,3,5,2.0,-154.5657251174166
3_5_2.5,pragmatic,3,5,2.5,-150.5117629687134
3_5_2.5,explicit,3,5,2.5,-154.25625819832388
3_6_0.5,pragmatic,3,6,0.5,-151.0723215977239
3_6_0.5,explicit,3,6,0.5,-155.61322969710108
3_6_0.1,pragmatic,3,6,0.1,-151.16969809322813
3_6_0.1,explicit,3,6,0.1,-155.83011818422105
3_6_1.5,pragmatic,3,6,1.5,-150.7182469436668
3_6_1.5,explicit,3,6,1.5,-154.92217408691985
3_6_2.0,pragmatic,3,6,2.0,-150.4916384145356
3_6_2.0,explicit,3,6,2.0,-154.5657251174166
3_6_2.5,pragmatic,3,6,2.5,-150.2551258314349
3_6_2.5,explicit,3,6,2.5,-154.25625819832388
3_7_0.5,pragmatic,3,7,0.5,-150.96503770017816
3_7_0.5,explicit,3,7,0.5,-155.61322969710108
3_7_0.1,pragmatic,3,7,0.1,-151.05389786316374
3_7_0.1,explicit,3,7,0.1,-155.83011818422105
3_7_1.5,pragmatic,3,7,1.5,-150.64346375656092
3_7_1.5,explicit,3,7,1.5,-154.92217408691985
3_7_2.0,pragmatic,3,7,2.0,-150.43062791042826
3_7_2.0,explicit,3,7,2.0,-154.5657251174166
3_7_2.5,pragmatic,3,7,2.5,-150.1890896331443
3_7_2.5,explicit,3,7,2.5,-154.25625819832388
4_1_0.5,pragmatic,4,1,0.5,-149.51697543661638
4_1_0.5,explicit,4,1,0.5,-151.23498242140974
4_1_0.1,pragmatic,4,1,0.1,-149.5593912891322
4_1_0.1,explicit,4,1,0.1,-151.38712214406632
4_1_1.5,pragmatic,4,1,1.5,-149.4535950784248
4_1_1.5,explicit,4,1,1.5,-150.78301450553792
4_1_2.0,pragmatic,4,1,2.0,-149.4818005496944
4_1_2.0,explicit,4,1,2.0,-150.57158895050216
4_1_2.5,pragmatic,4,1,2.5,-149.55684169722397
4_1_2.5,explicit,4,1,2.5,-150.40158596906858
4_2_0.5,pragmatic,4,2,0.5,-147.64961166900773
4_2_0.5,explicit,4,2,0.5,-151.23498242140974
4_2_0.1,pragmatic,4,2,0.1,-147.6627051343761
4_2_0.1,explicit,4,2,0.1,-151.38712214406632
4_2_1.5,pragmatic,4,2,1.5,-147.71845722304636
4_2_1.5,explicit,4,2,1.5,-150.78301450553792
4_2_2.0,pragmatic,4,2,2.0,-147.86842621219952
4_2_2.0,explicit,4,2,2.0,-150.57158895050216
