trialNum,gridState,question,goal
0,"{""safe"":[""C2"",""B3""],""unsafe"":[""A3""]}",is_C1_safe?,columns
1,"{""safe"":[""B2"",""B3""],""unsafe"":[""C3""]}",is_B1_safe?,rows
2,"{""safe"":[""C2"",""A2""],""unsafe"":[""A1""]}",is_C1_safe?,rows
3,"{""safe"":[""B1"",""C2""],""unsafe"":[""B2""]}",is_B3_safe?,rows
4,"{""safe"":[""C3"",""A2""],""unsafe"":[""B3""]}",is_C2_safe?,columns
5,"{""safe"":[""A1"",""B3""],""unsafe"":[""A3""]}",is_C1_safe?,columns
6,"{""safe"":[""B3"",""A3""],""unsafe"":[""C2""]}",is_C3_safe?,columns
7,"{""safe"":[""A2"",""A3""],""unsafe"":[""A1""]}",is_C1_safe?,columns
8,"{""safe"":[""C1"",""B1""],""unsafe"":[""A2""]}",is_A1_safe?,columns
9,"{""safe"":[""C1"",""A1""],""unsafe"":[""A3""]}",is_C3_safe?,rows
10,"{""safe"":[""C2"",""A1""],""unsafe"":[""C3""]}",is_C1_safe?,rows
11,"{""safe"":[""A3"",""B1""],""unsafe"":[""C2""]}",is_A1_safe?,columns
12,"{""safe"":[""B1"",""B3""],""unsafe"":[""C2""]}",is_B2_safe?,rows
13,"{""safe"":[""A1"",""B1""],""unsafe"":[""A3""]}",is_C3_safe?,rows
14,"{""safe"":[""A3"",""B3""],""unsafe"":[""B2""]}",is_C3_safe?,columns
15,"{""safe"":[""A2"",""C1""],""unsafe"":[""B3""]}",is_B2_safe?,columns
16,"{""safe"":[""C3"",""C2""],""unsafe"":[""A1""]}",is_A2_safe?,columns
17,"{""safe"":[""A3"",""B3""],""unsafe"":[""C1""]}",is_C3_safe?,columns
18,"{""safe"":[""A3"",""A2""],""unsafe"":[""C1""]}",is_C2_safe?,columns
19,"{""safe"":[""B2"",""C2""],""unsafe"":[""C3""]}",is_B3_safe?,rows
20,"{""safe"":[""A2"",""C2""],""unsafe"":[""B3""]}",is_B2_safe?,columns
21,"{""safe"":[""A2"",""B2""],""unsafe"":[""C1""]}",is_B3_safe?,rows
22,"{""safe"":[""C2"",""B2""],""unsafe"":[""B1""]}",is_C1_safe?,rows
23,"{""safe"":[""B3"",""B1""],""unsafe"":[""C1""]}",is_B2_safe?,rows
24,"{""safe"":[""A1"",""B2""],""unsafe"":[""C1""]}",is_A3_safe?,rows
25,"{""safe"":[""B3"",""B2""],""unsafe"":[""C1""]}",is_B1_safe?,rows
26,"{""safe"":[""B3"",""A2""],""unsafe"":[""C3""]}",is_A1_safe?,rows
27,"{""safe"":[""B2"",""B1""],""unsafe"":[""C2""]}",is_C1_safe?,rows
28,"{""safe"":[""A2"",""A1""],""unsafe"":[""C1""]}",is_B2_safe?,columns
29,"{""safe"":[""B1"",""C3""],""unsafe"":[""A1""]}",is_A3_safe?,columns
30,"{""safe"":[""B2"",""C3""],""unsafe"":[""A3""]}",is_A1_safe?,columns
31,"{""safe"":[""C3"",""A2""],""unsafe"":[""B3""]}",is_C2_safe?,columns
32,"{""safe"":[""A2"",""A3""],""unsafe"":[""B1""]}",is_C2_safe?,rows
33,"{""safe"":[""C1"",""B2""],""unsafe"":[""C2""]}",is_A3_safe?,columns
34,"{""safe"":[""A3"",""C1""],""unsafe"":[""C2""]}",is_B3_safe?,columns
35,"{""safe"":[""A1"",""B2""],""unsafe"":[""A2""]}",is_C1_safe?,columns
36,"{""safe"":[""B3"",""C2""],""unsafe"":[""A2""]}",is_B1_safe?,rows
37,"{""safe"":[""B1"",""C3""],""unsafe"":[""B2""]}",is_C2_safe?,rows
38,"{""safe"":[""B3"",""C1""],""unsafe"":[""C2""]}",is_A1_safe?,rows
39,"{""safe"":[""B2"",""C1""],""unsafe"":[""B3""]}",is_B1_safe?,columns
40,"{""safe"":[""B2"",""B3""],""unsafe"":[""C3""]}",is_A2_safe?,rows
41,"{""safe"":[""B2"",""C1""],""unsafe"":[""C3""]}",is_A1_safe?,rows
42,"{""safe"":[""B3"",""A2""],""unsafe"":[""C3""]}",is_B2_safe?,columns
43,"{""safe"":[""A1"",""C1""],""unsafe"":[""A2""]}",is_C2_safe?,rows
44,"{""safe"":[""C2"",""B3""],""unsafe"":[""C1""]}",is_B2_safe?,rows
45,"{""safe"":[""C2"",""C1""],""unsafe"":[""B2""]}",is_B1_safe?,columns
46,"{""safe"":[""A2"",""B1""],""unsafe"":[""C1""]}",is_B2_safe?,rows
47,"{""safe"":[""B2"",""C1""],""unsafe"":[""A3""]}",is_C2_safe?,columns
48,"{""safe"":[""A2"",""B3""],""unsafe"":[""C3""]}",is_A1_safe?,rows
49,"{""safe"":[""A2"",""C3""],""unsafe"":[""B1""]}",is_C2_safe?,columns
50,"{""safe"":[""A3"",""C3""],""unsafe"":[""C1""]}",is_B3_safe?,columns
51,"{""safe"":[""A2"",""A1""],""unsafe"":[""B3""]}",is_B1_safe?,columns
52,"{""safe"":[""B3"",""C1""],""unsafe"":[""B2""]}",is_C2_safe?,rows
53,"{""safe"":[""B3"",""A3""],""unsafe"":[""C1""]}",is_A1_safe?,columns
54,"{""safe"":[""B2"",""C2""],""unsafe"":[""B3""]}",is_C3_safe?,rows
55,"{""safe"":[""B2"",""B1""],""unsafe"":[""A2""]}",is_C2_safe?,rows
56,"{""safe"":[""A3"",""C3""],""unsafe"":[""C2""]}",is_A1_safe?,rows
57,"{""safe"":[""B2"",""C3""],""unsafe"":[""A1""]}",is_A3_safe?,columns
58,"{""safe"":[""A1"",""A2""],""unsafe"":[""B3""]}",is_A3_safe?,rows
59,"{""safe"":[""B1"",""C3""],""unsafe"":[""B2""]}",is_A2_safe?,rows
60,"{""safe"":[""B1"",""A3""],""unsafe"":[""C2""]}",is_B2_safe?,rows
61,"{""safe"":[""A3"",""A1""],""unsafe"":[""C2""]}",is_B2_safe?,rows
62,"{""safe"":[""A3"",""C3""],""unsafe"":[""A2""]}",is_C2_safe?,rows
63,"{""safe"":[""A3"",""B2""],""unsafe"":[""B1""]}",is_C2_safe?,columns
64,"{""safe"":[""B2"",""C1""],""unsafe"":[""C2""]}",is_B1_safe?,rows
65,"{""safe"":[""A2"",""C1""],""unsafe"":[""C2""]}",is_B1_safe?,columns
66,"{""safe"":[""C2"",""A1""],""unsafe"":[""B3""]}",is_B1_safe?,columns
67,"{""safe"":[""A2"",""A1""],""unsafe"":[""C2""]}",is_A3_safe?,rows
68,"{""safe"":[""A3"",""A2""],""unsafe"":[""C2""]}",is_A1_safe?,rows
69,"{""safe"":[""A2"",""C2""],""unsafe"":[""C3""]}",is_A3_safe?,rows
70,"{""safe"":[""B3"",""A1""],""unsafe"":[""B2""]}",is_B1_safe?,columns
71,"{""safe"":[""C1"",""A3""],""unsafe"":[""C2""]}",is_A2_safe?,rows
72,"{""safe"":[""C2"",""A1""],""unsafe"":[""A2""]}",is_B2_safe?,columns
73,"{""safe"":[""A2"",""C3""],""unsafe"":[""A3""]}",is_B2_safe?,rows
74,"{""safe"":[""A1"",""A3""],""unsafe"":[""B3""]}",is_B1_safe?,columns
75,"{""safe"":[""B1"",""B3""],""unsafe"":[""A2""]}",is_A1_safe?,columns
76,"{""safe"":[""B3"",""A2""],""unsafe"":[""C3""]}",is_A1_safe?,columns
77,"{""safe"":[""A2"",""B3""],""unsafe"":[""C2""]}",is_B2_safe?,columns
