trialNum,gridState,question,goal
0,"{""safe"":[""B1"",""C2""],""unsafe"":[""B3""]}",is_B2_safe?,columns
1,"{""safe"":[""A2"",""B1""],""unsafe"":[""A1""]}",is_B2_safe?,rows
2,"{""safe"":[""B1"",""C3""],""unsafe"":[""B2""]}",is_C2_safe?,rows
3,"{""safe"":[""B2"",""A2""],""unsafe"":[""B3""]}",is_C2_safe?,columns
4,"{""safe"":[""B1"",""B3""],""unsafe"":[""B2""]}",is_C2_safe?,rows
5,"{""safe"":[""C1"",""B3""],""unsafe"":[""C2""]}",is_A1_safe?,rows
6,"{""safe"":[""B3"",""A3""],""unsafe"":[""C1""]}",is_C3_safe?,columns
7,"{""safe"":[""A1"",""B2""],""unsafe"":[""C2""]}",is_C3_safe?,columns
8,"{""safe"":[""B2"",""C3""],""unsafe"":[""C2""]}",is_B1_safe?,rows
9,"{""safe"":[""C1"",""C3""],""unsafe"":[""B2""]}",is_C2_safe?,rows
10,"{""safe"":[""B2"",""A2""],""unsafe"":[""A1""]}",is_C2_safe?,columns
11,"{""safe"":[""C1"",""A1""],""unsafe"":[""B1""]}",is_A2_safe?,rows
12,"{""safe"":[""B2"",""B1""],""unsafe"":[""A3""]}",is_B3_safe?,rows
13,"{""safe"":[""C3"",""B1""],""unsafe"":[""A2""]}",is_B3_safe?,columns
14,"{""safe"":[""C2"",""A3""],""unsafe"":[""A2""]}",is_B3_safe?,columns
15,"{""safe"":[""C3"",""A3""],""unsafe"":[""A2""]}",is_B3_safe?,columns
16,"{""safe"":[""C1"",""A3""],""unsafe"":[""C2""]}",is_B3_safe?,rows
17,"{""safe"":[""C2"",""C1""],""unsafe"":[""A3""]}",is_B1_safe?,columns
18,"{""safe"":[""B2"",""A3""],""unsafe"":[""B1""]}",is_B3_safe?,columns
19,"{""safe"":[""B1"",""A3""],""unsafe"":[""A2""]}",is_C3_safe?,columns
20,"{""safe"":[""B3"",""A2""],""unsafe"":[""C1""]}",is_A3_safe?,columns
21,"{""safe"":[""A3"",""B1""],""unsafe"":[""B2""]}",is_B3_safe?,columns
22,"{""safe"":[""A1"",""C2""],""unsafe"":[""B1""]}",is_B3_safe?,columns
23,"{""safe"":[""C1"",""A2""],""unsafe"":[""C3""]}",is_A1_safe?,rows
24,"{""safe"":[""C3"",""C2""],""unsafe"":[""B1""]}",is_A3_safe?,columns
25,"{""safe"":[""A3"",""B3""],""unsafe"":[""A2""]}",is_A1_safe?,columns
26,"{""safe"":[""B1"",""A3""],""unsafe"":[""C1""]}",is_A1_safe?,rows
27,"{""safe"":[""A1"",""C1""],""unsafe"":[""C3""]}",is_B1_safe?,columns
28,"{""safe"":[""A2"",""B1""],""unsafe"":[""B2""]}",is_A1_safe?,rows
29,"{""safe"":[""B1"",""B2""],""unsafe"":[""B3""]}",is_C2_safe?,rows
30,"{""safe"":[""A3"",""C1""],""unsafe"":[""C2""]}",is_A1_safe?,columns
31,"{""safe"":[""B3"",""A1""],""unsafe"":[""A2""]}",is_C1_safe?,columns
