trialNum,gridState,question,goal
0,"{""safe"":[""A3"",""A1""],""unsafe"":[""B1""]}",is_C3_safe?,columns
1,"{""safe"":[""B2"",""B3""],""unsafe"":[""C1""]}",is_B1_safe?,rows
2,"{""safe"":[""B3"",""C2""],""unsafe"":[""B2""]}",is_A3_safe?,columns
3,"{""safe"":[""A2"",""C1""],""unsafe"":[""C2""]}",is_B1_safe?,columns
4,"{""safe"":[""B1"",""A1""],""unsafe"":[""B3""]}",is_A3_safe?,rows
5,"{""safe"":[""B1"",""C1""],""unsafe"":[""B2""]}",is_C3_safe?,rows
6,"{""safe"":[""B1"",""C3""],""unsafe"":[""C2""]}",is_C1_safe?,columns
7,"{""safe"":[""A1"",""B3""],""unsafe"":[""C2""]}",is_A2_safe?,rows
8,"{""safe"":[""C3"",""B3""],""unsafe"":[""B1""]}",is_C2_safe?,rows
9,"{""safe"":[""B3"",""A2""],""unsafe"":[""A3""]}",is_B2_safe?,rows
10,"{""safe"":[""A1"",""B1""],""unsafe"":[""A3""]}",is_B3_safe?,rows
11,"{""safe"":[""C3"",""B1""],""unsafe"":[""B3""]}",is_C1_safe?,rows
12,"{""safe"":[""A2"",""A3""],""unsafe"":[""B3""]}",is_B2_safe?,columns
13,"{""safe"":[""B2"",""C2""],""unsafe"":[""B1""]}",is_A2_safe?,columns
14,"{""safe"":[""C1"",""C2""],""unsafe"":[""A1""]}",is_B2_safe?,columns
15,"{""safe"":[""C3"",""B1""],""unsafe"":[""C2""]}",is_B3_safe?,rows
16,"{""safe"":[""B2"",""A1""],""unsafe"":[""C3""]}",is_A3_safe?,rows
17,"{""safe"":[""A3"",""B1""],""unsafe"":[""C1""]}",is_A2_safe?,rows
18,"{""safe"":[""C2"",""A2""],""unsafe"":[""B2""]}",is_A3_safe?,columns
19,"{""safe"":[""A3"",""B2""],""unsafe"":[""B1""]}",is_C2_safe?,columns
20,"{""safe"":[""B2"",""A2""],""unsafe"":[""A1""]}",is_B1_safe?,rows
21,"{""safe"":[""C3"",""A1""],""unsafe"":[""B1""]}",is_A3_safe?,columns
