trialNum,gridState,question,goal
0,"{""safe"":[""B1"",""C1""],""unsafe"":[""B3""]}",is_C3_safe?,rows
1,"{""safe"":[""B1"",""B2""],""unsafe"":[""A3""]}",is_A2_safe?,columns
2,"{""safe"":[""B3"",""B1""],""unsafe"":[""A3""]}",is_C3_safe?,rows
3,"{""safe"":[""B3"",""A1""],""unsafe"":[""C2""]}",is_C3_safe?,columns
4,"{""safe"":[""B2"",""C3""],""unsafe"":[""A2""]}",is_A1_safe?,columns
5,"{""safe"":[""B3"",""C1""],""unsafe"":[""A2""]}",is_B2_safe?,rows
6,"{""safe"":[""C2"",""A1""],""unsafe"":[""A3""]}",is_B2_safe?,rows
7,"{""safe"":[""B1"",""B2""],""unsafe"":[""C1""]}",is_B3_safe?,rows
8,"{""safe"":[""B3"",""C1""],""unsafe"":[""C2""]}",is_B2_safe?,rows
9,"{""safe"":[""B1"",""C3""],""unsafe"":[""C2""]}",is_B2_safe?,rows
10,"{""safe"":[""C1"",""B2""],""unsafe"":[""A2""]}",is_B3_safe?,rows
11,"{""safe"":[""B2"",""B3""],""unsafe"":[""C1""]}",is_B1_safe?,rows
12,"{""safe"":[""A1"",""A2""],""unsafe"":[""C1""]}",is_A3_safe?,rows
13,"{""safe"":[""C2"",""A3""],""unsafe"":[""A2""]}",is_C1_safe?,rows
14,"{""safe"":[""A1"",""A3""],""unsafe"":[""B3""]}",is_B1_safe?,rows
15,"{""safe"":[""A2"",""C3""],""unsafe"":[""B2""]}",is_A3_safe?,columns
16,"{""safe"":[""C3"",""B3""],""unsafe"":[""C1""]}",is_A3_safe?,columns
17,"{""safe"":[""A3"",""C3""],""unsafe"":[""A1""]}",is_C2_safe?,rows
18,"{""safe"":[""A2"",""A3""],""unsafe"":[""C2""]}",is_A1_safe?,rows
19,"{""safe"":[""A1"",""C3""],""unsafe"":[""B3""]}",is_A3_safe?,columns
20,"{""safe"":[""B1"",""B2""],""unsafe"":[""C2""]}",is_B3_safe?,rows
21,"{""safe"":[""B1"",""B3""],""unsafe"":[""C1""]}",is_B2_safe?,columns
22,"{""safe"":[""B2"",""A1""],""unsafe"":[""C3""]}",is_C2_safe?,columns
23,"{""safe"":[""B3"",""C1""],""unsafe"":[""A3""]}",is_B2_safe?,rows
24,"{""safe"":[""C2"",""A2""],""unsafe"":[""B1""]}",is_B2_safe?,columns
25,"{""safe"":[""A2"",""C2""],""unsafe"":[""B2""]}",is_C3_safe?,rows
26,"{""safe"":[""B3"",""A1""],""unsafe"":[""B1""]}",is_C2_safe?,columns
27,"{""safe"":[""B2"",""A1""],""unsafe"":[""B3""]}",is_A3_safe?,columns
28,"{""safe"":[""C3"",""A2""],""unsafe"":[""A3""]}",is_B2_safe?,rows
29,"{""safe"":[""B1"",""C2""],""unsafe"":[""B2""]}",is_A1_safe?,columns
30,"{""safe"":[""C3"",""C1""],""unsafe"":[""A2""]}",is_A3_safe?,columns
31,"{""safe"":[""A1"",""B2""],""unsafe"":[""B1""]}",is_C3_safe?,rows
32,"{""safe"":[""A1"",""C3""],""unsafe"":[""B1""]}",is_C2_safe?,columns
33,"{""safe"":[""C2"",""A3""],""unsafe"":[""B3""]}",is_B2_safe?,columns
34,"{""safe"":[""A3"",""B2""],""unsafe"":[""A2""]}",is_A1_safe?,columns
35,"{""safe"":[""A3"",""C3""],""unsafe"":[""B2""]}",is_B3_safe?,columns
36,"{""safe"":[""A2"",""A1""],""unsafe"":[""B3""]}",is_C1_safe?,columns
37,"{""safe"":[""B2"",""C2""],""unsafe"":[""C1""]}",is_B3_safe?,rows
38,"{""safe"":[""B1"",""A1""],""unsafe"":[""B2""]}",is_C1_safe?,columns
39,"{""safe"":[""A1"",""C3""],""unsafe"":[""A2""]}",is_B2_safe?,columns
40,"{""safe"":[""B3"",""A1""],""unsafe"":[""C2""]}",is_A2_safe?,rows
41,"{""safe"":[""B2"",""C2""],""unsafe"":[""B1""]}",is_A3_safe?,rows
42,"{""safe"":[""B2"",""C1""],""unsafe"":[""C3""]}",is_A1_safe?,rows
43,"{""safe"":[""B1"",""A1""],""unsafe"":[""C3""]}",is_C1_safe?,columns
44,"{""safe"":[""A2"",""A1""],""unsafe"":[""B2""]}",is_A3_safe?,rows
45,"{""safe"":[""B2"",""C3""],""unsafe"":[""A2""]}",is_B3_safe?,columns
46,"{""safe"":[""A2"",""B3""],""unsafe"":[""A1""]}",is_B2_safe?,rows
47,"{""safe"":[""A3"",""B1""],""unsafe"":[""A1""]}",is_B3_safe?,columns
48,"{""safe"":[""A1"",""A3""],""unsafe"":[""B1""]}",is_C3_safe?,columns
49,"{""safe"":[""C3"",""B3""],""unsafe"":[""A1""]}",is_C1_safe?,rows
50,"{""safe"":[""A2"",""B1""],""unsafe"":[""B3""]}",is_A3_safe?,rows
51,"{""safe"":[""C1"",""C2""],""unsafe"":[""B3""]}",is_C3_safe?,rows
52,"{""safe"":[""C1"",""A1""],""unsafe"":[""B2""]}",is_B1_safe?,columns
53,"{""safe"":[""C3"",""A2""],""unsafe"":[""A1""]}",is_C1_safe?,rows
54,"{""safe"":[""A3"",""A2""],""unsafe"":[""C3""]}",is_A1_safe?,rows
55,"{""safe"":[""C3"",""A1""],""unsafe"":[""B1""]}",is_C2_safe?,columns
56,"{""safe"":[""C2"",""A2""],""unsafe"":[""C1""]}",is_C3_safe?,rows
57,"{""safe"":[""C3"",""A1""],""unsafe"":[""B2""]}",is_A3_safe?,columns
58,"{""safe"":[""A3"",""B1""],""unsafe"":[""A2""]}",is_B3_safe?,rows
59,"{""safe"":[""A3"",""A1""],""unsafe"":[""C2""]}",is_B3_safe?,columns
60,"{""safe"":[""B1"",""C2""],""unsafe"":[""C3""]}",is_A1_safe?,columns
61,"{""safe"":[""B1"",""A3""],""unsafe"":[""A2""]}",is_C3_safe?,columns
62,"{""safe"":[""A3"",""A2""],""unsafe"":[""A1""]}",is_C2_safe?,columns
63,"{""safe"":[""A1"",""C3""],""unsafe"":[""A3""]}",is_C1_safe?,columns
64,"{""safe"":[""A2"",""B2""],""unsafe"":[""C1""]}",is_A3_safe?,rows
