trialNum,gridState,question,goal
0,"{""safe"":[""A3"",""C2""],""unsafe"":[""B1""]}",is_A2_safe?,rows
1,"{""safe"":[""A1"",""B3""],""unsafe"":[""C3""]}",is_C1_safe?,columns
2,"{""safe"":[""B1"",""A1""],""unsafe"":[""B2""]}",is_A3_safe?,rows
3,"{""safe"":[""A3"",""C2""],""unsafe"":[""B2""]}",is_B3_safe?,columns
4,"{""safe"":[""C1"",""B3""],""unsafe"":[""A1""]}",is_B1_safe?,rows
5,"{""safe"":[""C2"",""C1""],""unsafe"":[""B1""]}",is_B2_safe?,columns
6,"{""safe"":[""B3"",""C2""],""unsafe"":[""B2""]}",is_C3_safe?,columns
7,"{""safe"":[""B3"",""B1""],""unsafe"":[""A3""]}",is_B2_safe?,rows
8,"{""safe"":[""A2"",""A3""],""unsafe"":[""A1""]}",is_C2_safe?,rows
9,"{""safe"":[""C3"",""A2""],""unsafe"":[""B3""]}",is_B2_safe?,columns
10,"{""safe"":[""A3"",""A2""],""unsafe"":[""C3""]}",is_C2_safe?,columns
11,"{""safe"":[""B1"",""A1""],""unsafe"":[""C2""]}",is_B2_safe?,rows
12,"{""safe"":[""A2"",""B3""],""unsafe"":[""B1""]}",is_B2_safe?,columns
13,"{""safe"":[""C1"",""A3""],""unsafe"":[""B2""]}",is_C2_safe?,rows
14,"{""safe"":[""A2"",""A3""],""unsafe"":[""B1""]}",is_B2_safe?,columns
15,"{""safe"":[""B1"",""A1""],""unsafe"":[""A2""]}",is_B2_safe?,rows
16,"{""safe"":[""A3"",""C1""],""unsafe"":[""B2""]}",is_C2_safe?,rows
17,"{""safe"":[""A3"",""C1""],""unsafe"":[""A1""]}",is_B3_safe?,columns
18,"{""safe"":[""B2"",""A3""],""unsafe"":[""B3""]}",is_C2_safe?,columns
19,"{""safe"":[""C1"",""C2""],""unsafe"":[""B3""]}",is_B1_safe?,columns
20,"{""safe"":[""B3"",""C2""],""unsafe"":[""B1""]}",is_A3_safe?,columns
21,"{""safe"":[""B2"",""A2""],""unsafe"":[""B1""]}",is_C2_safe?,columns
22,"{""safe"":[""B2"",""B3""],""unsafe"":[""B1""]}",is_A2_safe?,rows
23,"{""safe"":[""A2"",""A1""],""unsafe"":[""A3""]}",is_B3_safe?,rows
24,"{""safe"":[""A1"",""C3""],""unsafe"":[""B2""]}",is_C2_safe?,rows
25,"{""safe"":[""C1"",""A2""],""unsafe"":[""B1""]}",is_B2_safe?,columns
26,"{""safe"":[""B1"",""C3""],""unsafe"":[""C1""]}",is_B3_safe?,rows
27,"{""safe"":[""C1"",""B3""],""unsafe"":[""B1""]}",is_C2_safe?,rows
28,"{""safe"":[""A2"",""A3""],""unsafe"":[""B2""]}",is_A1_safe?,rows
29,"{""safe"":[""C1"",""C3""],""unsafe"":[""B2""]}",is_B3_safe?,columns
30,"{""safe"":[""B2"",""A3""],""unsafe"":[""A2""]}",is_C3_safe?,columns
31,"{""safe"":[""A3"",""C2""],""unsafe"":[""A2""]}",is_C1_safe?,rows
32,"{""safe"":[""B3"",""A1""],""unsafe"":[""C2""]}",is_B2_safe?,rows
33,"{""safe"":[""B2"",""B3""],""unsafe"":[""C1""]}",is_B1_safe?,rows
34,"{""safe"":[""B3"",""A2""],""unsafe"":[""C3""]}",is_A1_safe?,rows
35,"{""safe"":[""C1"",""B1""],""unsafe"":[""B2""]}",is_C2_safe?,rows
36,"{""safe"":[""A2"",""C3""],""unsafe"":[""B1""]}",is_B2_safe?,columns
37,"{""safe"":[""C1"",""C3""],""unsafe"":[""B1""]}",is_C2_safe?,rows
38,"{""safe"":[""B2"",""C2""],""unsafe"":[""C3""]}",is_A2_safe?,columns
39,"{""safe"":[""A3"",""C3""],""unsafe"":[""B2""]}",is_B3_safe?,columns
40,"{""safe"":[""C2"",""B1""],""unsafe"":[""A2""]}",is_C3_safe?,rows
41,"{""safe"":[""B3"",""A2""],""unsafe"":[""C1""]}",is_C3_safe?,columns
42,"{""safe"":[""A3"",""C1""],""unsafe"":[""B1""]}",is_C3_safe?,columns
43,"{""safe"":[""B3"",""B2""],""unsafe"":[""C2""]}",is_B1_safe?,rows
44,"{""safe"":[""A2"",""B1""],""unsafe"":[""B2""]}",is_C1_safe?,columns
45,"{""safe"":[""C3"",""C2""],""unsafe"":[""B1""]}",is_C1_safe?,rows
46,"{""safe"":[""C3"",""A1""],""unsafe"":[""C2""]}",is_C1_safe?,columns
47,"{""safe"":[""A3"",""A2""],""unsafe"":[""C2""]}",is_C3_safe?,columns
48,"{""safe"":[""C1"",""A1""],""unsafe"":[""B2""]}",is_B1_safe?,columns
49,"{""safe"":[""C2"",""B1""],""unsafe"":[""A2""]}",is_B2_safe?,rows
50,"{""safe"":[""A3"",""B1""],""unsafe"":[""B2""]}",is_C1_safe?,columns
51,"{""safe"":[""B2"",""A3""],""unsafe"":[""C1""]}",is_B1_safe?,rows
52,"{""safe"":[""C2"",""A3""],""unsafe"":[""B1""]}",is_A2_safe?,rows
53,"{""safe"":[""A3"",""C1""],""unsafe"":[""A1""]}",is_C2_safe?,rows
54,"{""safe"":[""C3"",""A2""],""unsafe"":[""B3""]}",is_A1_safe?,rows
55,"{""safe"":[""A3"",""A2""],""unsafe"":[""B1""]}",is_A1_safe?,rows
56,"{""safe"":[""B3"",""B2""],""unsafe"":[""C1""]}",is_C2_safe?,columns
57,"{""safe"":[""A1"",""B3""],""unsafe"":[""C2""]}",is_B2_safe?,rows
58,"{""safe"":[""B1"",""A1""],""unsafe"":[""B2""]}",is_A3_safe?,rows
59,"{""safe"":[""A1"",""B1""],""unsafe"":[""A2""]}",is_B3_safe?,rows
60,"{""safe"":[""A3"",""A1""],""unsafe"":[""B1""]}",is_C3_safe?,columns
61,"{""safe"":[""A3"",""B1""],""unsafe"":[""A1""]}",is_B2_safe?,rows
62,"{""safe"":[""B2"",""C1""],""unsafe"":[""C2""]}",is_B3_safe?,rows
63,"{""safe"":[""B1"",""A1""],""unsafe"":[""C1""]}",is_B3_safe?,rows
64,"{""safe"":[""A1"",""B3""],""unsafe"":[""C3""]}",is_C1_safe?,columns
65,"{""safe"":[""A2"",""C3""],""unsafe"":[""C1""]}",is_B1_safe?,rows
66,"{""safe"":[""C2"",""B1""],""unsafe"":[""B3""]}",is_A1_safe?,columns
67,"{""safe"":[""A3"",""B1""],""unsafe"":[""C2""]}",is_C1_safe?,columns
68,"{""safe"":[""C2"",""A3""],""unsafe"":[""B3""]}",is_B2_safe?,columns
69,"{""safe"":[""C1"",""B2""],""unsafe"":[""C3""]}",is_C2_safe?,columns
70,"{""safe"":[""B3"",""B1""],""unsafe"":[""C1""]}",is_C3_safe?,columns
71,"{""safe"":[""B1"",""A1""],""unsafe"":[""B2""]}",is_C1_safe?,columns
72,"{""safe"":[""C2"",""B1""],""unsafe"":[""A2""]}",is_A1_safe?,columns
73,"{""safe"":[""A3"",""C2""],""unsafe"":[""B1""]}",is_A1_safe?,rows
74,"{""safe"":[""C1"",""B1""],""unsafe"":[""A3""]}",is_C3_safe?,rows
75,"{""safe"":[""C3"",""A1""],""unsafe"":[""C2""]}",is_B1_safe?,columns
76,"{""safe"":[""C3"",""C2""],""unsafe"":[""B3""]}",is_A2_safe?,columns
77,"{""safe"":[""C2"",""B2""],""unsafe"":[""A2""]}",is_C1_safe?,rows
78,"{""safe"":[""C1"",""C2""],""unsafe"":[""B1""]}",is_C3_safe?,rows
79,"{""safe"":[""A3"",""A1""],""unsafe"":[""B3""]}",is_A2_safe?,rows
80,"{""safe"":[""A3"",""C2""],""unsafe"":[""C1""]}",is_B2_safe?,columns
81,"{""safe"":[""B2"",""C2""],""unsafe"":[""C1""]}",is_A2_safe?,columns
82,"{""safe"":[""B1"",""B3""],""unsafe"":[""A2""]}",is_A3_safe?,columns
83,"{""safe"":[""A2"",""B2""],""unsafe"":[""B3""]}",is_C1_safe?,rows
