trialNum,gridState,question,goal
0,"{""safe"":[""C3"",""B1""],""unsafe"":[""A2""]}",is_B2_safe?,rows
1,"{""safe"":[""B2"",""B1""],""unsafe"":[""C2""]}",is_C1_safe?,columns
2,"{""safe"":[""A1"",""A2""],""unsafe"":[""B2""]}",is_C3_safe?,rows
3,"{""safe"":[""B2"",""B1""],""unsafe"":[""C2""]}",is_A1_safe?,columns
4,"{""safe"":[""C1"",""C3""],""unsafe"":[""B2""]}",is_C2_safe?,rows
5,"{""safe"":[""B3"",""B1""],""unsafe"":[""C2""]}",is_C3_safe?,columns
6,"{""safe"":[""A3"",""A2""],""unsafe"":[""B2""]}",is_A1_safe?,rows
7,"{""safe"":[""C1"",""C2""],""unsafe"":[""B3""]}",is_C3_safe?,rows
8,"{""safe"":[""B3"",""C3""],""unsafe"":[""A2""]}",is_C2_safe?,rows
9,"{""safe"":[""A1"",""C2""],""unsafe"":[""C1""]}",is_A2_safe?,rows
10,"{""safe"":[""B2"",""A3""],""unsafe"":[""B1""]}",is_A2_safe?,columns
11,"{""safe"":[""B1"",""C1""],""unsafe"":[""C2""]}",is_A1_safe?,columns
12,"{""safe"":[""C3"",""C1""],""unsafe"":[""C2""]}",is_B1_safe?,columns
13,"{""safe"":[""C1"",""C3""],""unsafe"":[""A3""]}",is_C2_safe?,rows
14,"{""safe"":[""C3"",""B1""],""unsafe"":[""A1""]}",is_B2_safe?,columns
15,"{""safe"":[""A2"",""C1""],""unsafe"":[""B2""]}",is_A1_safe?,columns
16,"{""safe"":[""C3"",""A3""],""unsafe"":[""B1""]}",is_C1_safe?,rows
17,"{""safe"":[""B2"",""C1""],""unsafe"":[""C3""]}",is_C2_safe?,columns
18,"{""safe"":[""C1"",""A2""],""unsafe"":[""C2""]}",is_B3_safe?,columns
19,"{""safe"":[""B3"",""B2""],""unsafe"":[""C2""]}",is_A2_safe?,rows
20,"{""safe"":[""A1"",""B2""],""unsafe"":[""B3""]}",is_B1_safe?,columns
21,"{""safe"":[""A1"",""A2""],""unsafe"":[""B1""]}",is_C2_safe?,columns
22,"{""safe"":[""B1"",""C3""],""unsafe"":[""C2""]}",is_C1_safe?,columns
23,"{""safe"":[""C3"",""A1""],""unsafe"":[""B2""]}",is_A3_safe?,rows
24,"{""safe"":[""B3"",""C3""],""unsafe"":[""C2""]}",is_A1_safe?,columns
25,"{""safe"":[""B2"",""C2""],""unsafe"":[""A1""]}",is_A2_safe?,columns
26,"{""safe"":[""A3"",""B1""],""unsafe"":[""B2""]}",is_A2_safe?,rows
27,"{""safe"":[""B2"",""C1""],""unsafe"":[""B3""]}",is_C3_safe?,columns
28,"{""safe"":[""B2"",""B1""],""unsafe"":[""A1""]}",is_B3_safe?,rows
29,"{""safe"":[""B1"",""A1""],""unsafe"":[""A2""]}",is_C1_safe?,columns
30,"{""safe"":[""C3"",""C1""],""unsafe"":[""B2""]}",is_C2_safe?,rows
31,"{""safe"":[""A3"",""A2""],""unsafe"":[""C1""]}",is_B1_safe?,rows
32,"{""safe"":[""A1"",""C1""],""unsafe"":[""C2""]}",is_B3_safe?,rows
33,"{""safe"":[""C1"",""B2""],""unsafe"":[""B1""]}",is_C2_safe?,columns
34,"{""safe"":[""C2"",""A1""],""unsafe"":[""B3""]}",is_A3_safe?,rows
35,"{""safe"":[""A3"",""A1""],""unsafe"":[""B2""]}",is_C3_safe?,columns
36,"{""safe"":[""C1"",""C2""],""unsafe"":[""A3""]}",is_C3_safe?,rows
37,"{""safe"":[""C1"",""B3""],""unsafe"":[""A1""]}",is_A3_safe?,columns
38,"{""safe"":[""B2"",""B1""],""unsafe"":[""A3""]}",is_B3_safe?,rows
39,"{""safe"":[""B3"",""C2""],""unsafe"":[""A2""]}",is_A1_safe?,columns
40,"{""safe"":[""A2"",""C3""],""unsafe"":[""A3""]}",is_B2_safe?,columns
41,"{""safe"":[""C3"",""B1""],""unsafe"":[""C1""]}",is_A2_safe?,columns
42,"{""safe"":[""A3"",""A2""],""unsafe"":[""B1""]}",is_A1_safe?,rows
43,"{""safe"":[""A2"",""A3""],""unsafe"":[""A1""]}",is_C3_safe?,rows
44,"{""safe"":[""C2"",""A2""],""unsafe"":[""C1""]}",is_B2_safe?,columns
45,"{""safe"":[""B3"",""C3""],""unsafe"":[""C1""]}",is_B1_safe?,rows
46,"{""safe"":[""B2"",""C1""],""unsafe"":[""C2""]}",is_B3_safe?,rows
